Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),N (mg/kg),P (mg/kg),K (mg/kg),Mg (mg/kg),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
Karta-139,0-20 sm,Loy,8.74,,4.48,1.63,22.46,12.47,10.74,303.93,272.36,60.48,10.35,0.96,10.75,0.99,2.04,Bug'doy
NTTM-141,0-20 sm,Loy,6.42,2,3.36,1.54,34,28.51,17.84,334.67,311.04,61.03,13.16,2.05,12.31,0.82,1.2,Bug'doy
NMNX-7521,0-20 sm,Loy,7.43,0.71,4.06,1.55,29.26,32.47,19.47,344.94,302.22,56.39,,,5.18,1.14,1.69,Bug'doy
NMNX-7642,0-20 sm,Loy,8.21,,4.7,1.64,38.42,20.97,13.64,356.48,359.27,60.13,10.41,0.89,5.39,0.59,2.18,Bug'doy
TSPD-2029,0-20 sm,Loy,8.6,0.3,4.27,1.55,24.02,24.89,17.67,343.41,310.78,66.04,7.07,1.53,13.16,0.91,2.19,Bug'doy
NMNX-7763,0-20 sm,Loy,8.38,2.07,1.91,1.48,27.04,29.41,20.11,349.82,305.48,43.71,9.08,1.01,12.76,0.91,,Bug'doy
Karta-141,0-20 sm,Loy,8.13,1.07,4.46,1.51,18.29,25.76,16.3,302.55,308.4,61.83,9.46,1.59,10.61,1.07,1.23,Bug'doy
NMNX-8005,0-20 sm,Loy,6.92,1.31,3.89,1.58,33.89,43.37,23.73,403.04,352.8,56.37,9.09,1.8,12.94,1.15,1.75,Bug'doy
NMNX-8126,0-20 sm,Loy,8.81,0.45,3.48,1.41,27.44,29.42,16.96,385.81,368.27,58.68,13.24,0.45,10.31,1.03,1.44,Bug'doy
NTXM-182,0-20 sm,Loy,8.24,1.45,4.27,1.63,30.79,16.21,13.02,339.67,368.02,55.55,9.44,1.89,4.71,0.99,2.38,Bug'doy
TSPD-2031,0-20 sm,Loy,8.17,0.85,4.21,1.62,23.3,12.33,12.82,329.84,295.16,54.68,7.95,0.39,11.3,1.24,,Bug'doy
Karta-142,0-20 sm,Loy,8.69,1.57,4.71,1.38,17.82,29.38,17.28,366.34,347.29,68.67,7.77,1.26,9.96,0.98,0.96,Bug'doy
NTTM-144,0-20 sm,Loy,8.27,1.27,3.06,1.54,39.39,33.05,18.52,376.74,367.01,50.3,13.36,0.9,14.67,0.62,1.46,Bug'doy
NTXM-183,0-20 sm,Loy,6.44,2.15,3.29,1.54,30.12,42.23,21.92,393.27,377.04,64.71,9.28,1.98,11.46,0.61,1.79,Bug'doy
NTTM-145,0-20 sm,Loy,8.49,1.82,3.62,1.43,19.39,43.15,21.98,385.18,349.23,59.81,10.33,1.42,13.22,1.2,0.97,Bug'doy
NMNX-1259,0-20 sm,Loy,6.35,1.49,2.84,1.39,26.72,54.53,28.29,399.86,372.2,54.36,11.45,1.94,3.74,0.35,2.35,Bug'doy
NMNX-164,0-20 sm,Loy,8.95,1.03,4.84,1.61,31.46,18.91,9.09,277.66,260.48,58.49,9.12,0.29,14.03,0.42,2.13,Bug'doy
NTXM-173,0-20 sm,Loy,8.11,1.34,3.16,1.53,37.56,25.33,16.66,339.27,311.69,51.77,8.32,1.34,10.26,1.1,2,Bug'doy
NMNT-166,0-20 sm,Loy,8.75,0.52,3.65,1.57,17.42,34.03,19.52,385.45,362.96,58.06,8.49,0.44,9.58,0.96,0.63,Bug'doy
NTTM-135,0-20 sm,Loy,8.87,0.77,1.94,1.56,35.73,27.74,13.88,337.05,303.05,,9.18,1.03,7.28,1.19,1.92,Bug'doy
NMNX-7515,0-20 sm,Loy,7.87,1.34,2.31,1.4,19.54,50,26.33,409.64,365.66,50.06,11.28,1.76,14.99,1,3.29,Bug'doy
NMNT-167,0-20 sm,Loy,6.82,1.17,2.91,1.61,29.69,46.98,24.6,382.09,348.05,50.15,14,1.77,8.71,1.07,1.62,Bug'doy
NMNX-7637,0-20 sm,Loy,8.35,1.01,3.79,1.35,22.99,22.41,16.75,339.56,327.47,56.09,11.8,0.97,9.57,,1.69,Bug'doy
NTXM-175,0-20 sm,Loy,8.15,0.27,4.6,1.61,39.78,36.3,19.76,384.75,348.21,68.95,11.39,0.65,13.72,0.88,2.41,Bug'doy
NMNX-167,0-20 sm,Loy,6.86,1.51,2.84,1.48,22.18,33.9,19.73,341.33,328.33,,9.25,1.64,8.2,0.76,1.76,Bug'doy
NTXM-176,0-20 sm,Loy,8.41,0.77,1.38,1.47,27.35,59.39,29.45,423.44,386.11,46.26,8.54,1.13,4.66,0.5,2.95,Bug'doy
NMNX-7517,0-20 sm,Loy,7.06,1.46,2.88,1.58,38.05,39.48,24.43,385.84,371.26,53.1,8.82,1.53,6.27,0.99,1.95,Bug'doy
NTXM-176,0-20 sm,Loy,7.14,0.91,1.04,1.55,37.12,69.55,35.12,454.35,406.6,41.01,8.51,1.85,6.88,0.96,1.26,Bug'doy
NMNX-168,0-20 sm,Loy,8.18,,3.61,1.41,23.33,40.05,24.31,376.71,365.28,51.59,10.59,0.84,13.41,0.78,0.92,Bug'doy
NTXM-177,0-20 sm,Loy,6.99,0.52,2.92,1.42,22.97,46.2,25.95,343.96,325.2,51.11,10.25,1.8,12.31,0.85,1.38,Bug'doy
NMNX-7518,0-20 sm,Loy,7.17,0.65,3.94,1.5,30.88,29.61,16.93,339.84,323.98,53.8,11.84,,3.96,1.04,2.61,Bug'doy
NMNX-7639,0-20 sm,Loy,8.26,1.32,4.18,1.56,36.88,19.66,14.1,344.03,343.76,57.2,9.69,1.41,7.89,1.18,2.08,Bug'doy
NTXM-177,0-20 sm,Loy,8.99,1.65,3.24,1.4,15.7,29.89,17.9,376.06,363.31,54.72,8.41,0,3.52,0.8,,Bug'doy
NMNX-169,0-20 sm,Loy,7.92,1.23,4.56,1.58,25.26,38.89,22.42,395.96,361.07,67.42,10.26,1.2,5.36,0.83,1.43,Bug'doy
NMNT-170,0-20 sm,Loy,6.51,1.49,3.09,1.37,31.53,70.42,35.29,411.8,394.38,49.6,12.25,2.88,13.24,0.8,0.95,Bug'doy
NMNX-7519,0-20 sm,Loy,6.24,2.19,2.15,1.49,28.4,55.46,30.15,406.09,357.13,43.25,8.66,2.57,10.65,0.92,1.69,Bug'doy
NMNX-7640,0-20 sm,Loy,7.56,2.66,4.15,1.56,39.86,35.25,20.39,380.54,344.13,68.21,11.52,1.47,13.75,0.61,1.42,Bug'doy
NMNX-170,0-20 sm,Loy,8.79,1.86,4.6,1.59,20.17,20.63,12.77,319.37,295.74,60.68,10.95,0.17,3.4,0.51,1.02,Bug'doy
NTXM-179,0-20 sm,Loy,8.38,2.2,3.39,1.62,17.3,21.52,12.09,293.4,289.33,51.24,11.03,1.13,14.47,1.19,1.86,Bug'doy
NMNX-7641,0-20 sm,Loy,6.97,1.77,0.94,1.47,36.59,55.33,30.81,420.68,396.71,35.02,9.49,1.57,10.77,1.14,0.98,Bug'doy
NTXM-179,0-20 sm,Loy,8.31,0.44,4.32,1.54,37.93,22.6,16.08,339.04,319.96,60.64,10.29,0.54,10.71,0.64,1.45,Bug'doy
NMNX-171,0-20 sm,Loy,6.63,1.43,4.81,1.48,24.06,40.87,23.23,377.65,355.69,70.88,7.95,1.78,7.32,0.81,2.73,Bug'doy
NMNT-172,0-20 sm,Loy,7.2,1.72,4.41,1.41,15.39,59.71,30.88,382.86,376.76,77.4,9.17,2.04,3.99,1.26,2.53,Bug'doy
NTTM-141,0-20 sm,Loy,8.05,1.77,3.04,1.41,17.7,28.47,16.57,326.06,342.36,56.19,7.44,0.93,12.56,0.67,2.7,Bug'doy
NMNX-7642,0-20 sm,Loy,7.63,1.61,3.95,1.61,35.58,17.7,11.67,351.23,319.88,58.89,10.46,1.45,4.07,0.93,2.45,Bug'doy
TSPD-2029,0-20 sm,Loy,8.71,0.68,4.68,1.49,17.67,43.5,22.98,359.63,322.05,67.97,7.75,0.97,8.3,0.97,1.05,Bug'doy
Karta-140,0-20 sm,Loy,7.59,0.84,1.99,1.26,24.25,49.7,27.74,399.64,386.51,41.31,,1.47,4.19,0.71,2.45,Bug'doy
NTTM-142,0-20 sm,Loy,8.52,1.95,2.62,1.45,27.24,17.68,15.25,363.63,322.82,46.73,11.64,0.71,14.29,0.86,0.89,Bug'doy
NMNX-7763,0-20 sm,Loy,8.79,0.74,3.72,1.42,24.1,25.98,17.35,364.35,359.02,58.6,9.55,0.85,9.83,1.15,2.28,Bug'doy
NMNX-7884,0-20 sm,Loy,8.54,1.49,4.34,1.62,28.78,19.9,14.63,341.89,318.46,61.67,10.59,1.07,13.72,0.83,1.13,Bug'doy
TSPD-2030,0-20 sm,Loy,6.07,1.26,1.21,1.44,24.23,37.87,22.48,325.63,297.15,34.88,6.65,1.87,9.68,0.22,1.96,Bug'doy
NTXM-182,0-20 sm,Loy,8.39,,3.68,1.6,35.17,30.97,19.24,366.59,352.31,59.25,7.37,0.97,4.21,1.26,1.42,Bug'doy
Karta-142,0-20 sm,Loy,8.7,1.07,2,1.41,37.92,38.1,19.88,391.92,355.49,37.17,6.07,1.06,4.97,0.24,0.8,Bug'doy
NTTM-144,0-20 sm,Loy,7.47,1.17,4.97,1.64,33.88,18.58,12,321.17,309.37,72.51,10.1,1.65,6.48,0.83,,Bug'doy
NMNX-8247,0-20 sm,Loy,8.9,0.78,5,1.64,16.57,14.31,10.09,354.5,321,60.33,8.8,,13.65,0.9,2.26,Bug'doy
Karta-143,0-20 sm,Loy,6.22,1.37,2.98,1.51,27.04,52.51,29.55,380.84,349.9,66.21,10.81,2.3,13.21,,,Bug'doy
NTXM-184,0-20 sm,Loy,7.73,1.18,1.12,1.29,37.19,45.8,23.87,386.93,384.88,,8.56,1.59,12.08,0.92,1.31,Bug'doy
TSPD-2033,0-20 sm,Loy,8.37,2.6,4.2,1.63,29.87,12.68,9.37,306.36,295.65,56.02,6.88,1.12,6.33,1.18,,Bug'doy
Karta-144,0-20 sm,Loy,8.74,1.76,4.46,1.54,37.72,25.62,15.43,354.04,316.55,58.35,9.52,0.67,8.63,0.7,1.38,Bug'doy
NTTM-146,0-20 sm,Loy,7.32,,3.13,1.46,24.09,58.95,27.79,377.02,342.72,47.14,15.71,1.6,6.6,1.12,2.32,Bug'doy
NMNX-165,0-20 sm,Loy,8.85,,4.85,1.52,34.42,13.47,11.2,347.92,318.44,64.45,8.37,,12.01,0.91,2.36,Bug'doy
NTXM-174,0-20 sm,Loy,7.59,,2.97,1.6,26.31,29.98,20.45,348.68,334.32,57.3,7.87,1.6,11.28,0.8,2.9,Bug'doy
NMNX-166,0-20 sm,Loy,8.9,1.46,3.85,1.37,15.66,34.93,21.02,335.81,316.32,63.51,8.98,0.69,4.84,1.15,3.01,Bug'doy
NTXM-176,0-20 sm,Loy,7.14,1.49,1.93,1.5,23.79,50.19,28.47,394.47,376.74,428.32,8.76,1.48,13.17,1.07,0.75,Bug'doy
NMNX-7758,0-20 sm,Loy,6.59,1.11,4.79,1.62,38.74,44.18,21.94,354.62,325.81,435.49,10.48,2.19,12.3,1.08,1.37,Bug'doy
NTXM-176,0-20 sm,Loy,6.98,1.46,3.88,1.56,23.96,33.45,18.98,349.97,358.21,382.8,8.28,,14.55,0.76,1.31,Bug'doy
NMNX-168,0-20 sm,Loy,8.02,1.13,4.38,1.63,24.43,22.64,14.25,333.43,314.11,444.96,12.66,1.08,11.72,1.03,1.56,Bug'doy
NMNX-7759,0-20 sm,Loy,6.73,0.75,2.65,1.47,18.59,59.67,31.72,415.98,431.7,419.22,9.04,2.31,6.69,1.06,1.09,Bug'doy
NMNX-7880,0-20 sm,Loy,8.34,0.48,4.78,1.57,20.69,18.28,14.23,322.95,326.47,398.41,9.47,1.41,12.21,1.24,1.04,Bug'doy
NTTM-139,0-20 sm,Loy,8,1.64,2.35,1.43,17.61,31.86,20.06,388.51,326.84,398.38,9.69,1.82,4.26,0.78,2.76,Bug'doy
NMNX-7760,0-20 sm,Loy,7,1.6,2.75,1.5,34.44,42.12,22.31,373.4,336.48,477.77,5.97,1.78,8.25,0.96,2.62,Bug'doy
NTXM-178,0-20 sm,Loy,6.96,1.57,4.22,1.57,18.93,39.72,20,352.72,329.38,423.44,,1.54,5.1,0.85,2.11,Bug'doy
NMNX-170,0-20 sm,Loy,8.79,1.7,3.91,1.56,34.29,20.61,14,327.01,315.52,434.22,6.83,0.46,13.69,0.95,2.79,Bug'doy
NMNT-171,0-20 sm,Loy,7.95,0.97,4.84,1.64,34.11,30.5,17.13,353.1,315.96,442.19,9.73,0.91,5.16,1.33,3.05,Bug'doy
NTTM-140,0-20 sm,Loy,7.44,0.82,4.38,1.62,16.3,14.96,10.09,293.02,287.11,415.93,6.71,1.5,,0.77,1.89,Bug'doy
NMNX-7761,0-20 sm,Loy,7.73,2.31,3.81,1.59,30.33,19.51,14.4,328.82,,388.29,7.49,1.11,8.64,0.56,1.98,Bug'doy
NTXM-179,0-20 sm,Loy,6.98,1.48,3.93,1.4,33.78,54.2,30.46,428.29,402.22,416.8,8.46,1.75,6.31,1.11,1.94,Bug'doy
NMNX-171,0-20 sm,Loy,8.64,0.67,1.2,1.48,19.7,64.99,35.68,451.14,424.27,410.2,10.38,1.07,8.68,1.04,1.68,Bug'doy
NMNT-172,0-20 sm,Loy,7.51,0.74,4.64,1.57,18.55,33.7,20.71,339.61,329.7,448.05,10.38,2.13,4.85,0.94,1.81,Bug'doy
NMNX-7762,0-20 sm,Loy,6.19,1.57,1.28,1.53,38.14,53.87,27.52,385.45,367.63,450.71,9.63,2.32,8.65,1.14,2.54,Bug'doy
NMNX-7883,0-20 sm,Loy,6.81,0.87,4.86,1.63,39.91,42.89,23.72,353.08,315.73,433.21,,2.2,14.14,0.53,1.96,Bug'doy
NTXM-180,0-20 sm,Loy,8.54,1.24,4.73,1.61,25.7,16.86,10.21,294.54,297.46,423.55,9.91,0.98,13.19,0.9,2.02,Bug'doy
NTXM-181,0-20 sm,Loy,7.17,1.41,2.62,1.47,39.99,47.14,25.93,391.91,343.97,431.6,6.91,1.7,,0.93,1.4,Bug'doy
NMNX-7763,0-20 sm,Loy,7.26,1.81,3.25,1.34,19.28,58.44,31.99,409.42,386.49,427.27,6.01,2.04,9.41,1.26,1.19,Bug'doy
NMNX-7884,0-20 sm,Loy,8.84,1.52,5,1.64,21.35,21.26,13.35,334.32,351.72,451.42,9.04,0.93,6.88,1.14,2.94,Bug'doy
Karta-141,0-20 sm,Loy,8.12,1.8,2.56,1.55,19.91,27.38,15.81,296.33,317.62,419.17,10.73,1.61,10.93,0.67,2.57,Bug'doy
NTTM-143,0-20 sm,Loy,7.27,1.35,4.34,1.63,18.4,26.96,18.07,352.96,326.07,388.99,11.2,1.45,10.28,0.96,,Bug'doy
NMNX-8126,0-20 sm,Loy,8.57,0.83,4.36,1.41,33.46,38.53,21.99,383.79,360.47,409.43,7.47,1.17,7.04,0.88,2.51,Bug'doy
TSPD-2031,0-20 sm,Loy,7.47,1.43,3.38,1.62,15.8,28.34,19.34,334.02,322.98,412.32,8.57,1.39,14.41,0.55,1.79,Bug'doy
Karta-142,0-20 sm,Loy,8.51,2.62,4.2,1.57,30.79,16.68,11.84,352.99,347.88,407.58,7.63,0.89,7.54,1.02,3.06,Bug'doy
NMNX-8247,0-20 sm,Loy,8.77,1.23,4.6,1.63,39.17,30.19,18.9,388.81,351.32,447.29,9.97,0.74,9.36,0.67,2.67,Bug'doy
NMNX-8368,0-20 sm,Loy,8.94,1.54,3.23,1.59,28.96,21.91,14.81,383.27,363.59,440.5,9.68,0.73,12.74,0.98,2.24,Bug'doy
NTXM-183,0-20 sm,Loy,8.64,1.9,3.93,1.62,22.42,31.6,20.6,367.39,337.67,370.38,6.39,0.7,5.02,1,2.62,Bug'doy
NTTM-145,0-20 sm,Loy,7.88,1.44,3.45,1.49,36.84,39.33,20.63,354.45,,425.58,7.22,1.21,11.17,1.21,2.44,Bug'doy
NMNX-8610,0-20 sm,Loy,8.67,0.92,4.82,1.47,17.51,33.44,18.42,376.11,370.67,436.39,8.78,0.5,7.13,1.03,1.71,Bug'doy
TSPD-2033,0-20 sm,Loy,8.54,1.57,1.52,1.41,37.88,51.16,29.02,425.75,363.32,411.36,7.76,0.89,14.15,0.91,,Bug'doy
Karta-144,0-20 sm,Loy,7.61,0.53,4.19,1.61,29.8,22.91,13.91,376.28,359.57,471.3,8.17,1.3,4.69,0.81,1.9,Bug'doy
NMNX-8731,0-20 sm,Loy,6.17,0.47,0.96,1.35,15.53,50.66,26.46,404.58,387.71,420.94,7.97,2.01,3.71,1.01,2.39,Bug'doy
NMNX-8852,0-20 sm,Loy,7.48,2.03,4.72,1.4,22.62,60.07,30.5,401.78,373.75,416.28,10.69,1.64,11.03,0.73,2.14,Bug'doy
NTTM-147,0-20 sm,Loy,6.98,1.19,4.72,1.52,19.92,34.85,18.55,333.35,302.44,467.07,,2.39,,1.05,0.89,Bug'doy
NMNX-166,0-20 sm,Loy,8.35,1.15,2.82,1.51,39.81,31.54,19.09,364.92,325.25,359.57,11.29,0.59,5.58,0.77,1.15,Bug'doy
NTXM-176,0-20 sm,Loy,7.14,0.85,2.3,1.43,24.52,62.65,32.18,437.55,400.9,417.5,11.99,1.33,9.83,1.21,1.15,Bug'doy
NTTM-137,0-20 sm,Loy,8.15,0.52,2.25,1.41,18.91,48.85,29.49,404.56,379.63,389.51,10,0.35,6.5,0.54,0.79,Bug'doy
NMNX-8120,0-20 sm,Loy,7.32,0.94,1.9,1.49,32.98,20.39,18.23,350.49,350.21,376.04,6.77,1.04,7.08,0.95,2.04,Bug'doy
NTXM-176,0-20 sm,Loy,7.53,1.87,2.82,1.58,39.59,38.02,22.89,359.65,324.25,456.91,5.82,1.72,13.08,0.92,2.07,Bug'doy
NMNT-169,0-20 sm,Loy,7.48,1.66,3.2,1.42,24.9,35.64,19.65,359.8,331.36,428.93,11.86,1.67,6.3,0.46,2.15,Bug'doy
NMNX-8000,0-20 sm,Loy,8.91,,3.96,1.52,22.97,27.56,16.72,322.35,309.66,,8.09,1.29,8.91,0.82,0.98,Bug'doy
NTXM-177,0-20 sm,Loy,7.59,2.11,2.65,1.57,32.59,32.76,18.29,344.98,319.33,451.56,11.12,0.49,3.7,1.02,1.77,Bug'doy
NMNX-169,0-20 sm,Loy,7.71,2.12,1.29,1.37,20.71,56.79,31.19,431.29,378.45,428.77,7.99,1.91,9.87,1.24,1.31,Bug'doy
NTXM-178,0-20 sm,Loy,6.68,2.24,1.69,1.35,20.48,62.14,33.24,396.56,375.63,446.66,8.8,1.99,4.94,1.01,1.35,Bug'doy
NMNT-170,0-20 sm,Loy,6.78,1.07,3.61,1.52,25.36,42.33,24.83,387.48,353.52,439.79,8.65,1.79,3.64,0.83,1.7,Bug'doy
NTTM-139,0-20 sm,Loy,6.66,2.33,2.18,1.53,23.78,48.54,26.6,389.98,328.02,468.64,13.12,,7.32,0.81,1.65,Bug'doy
NTTM-140,0-20 sm,Loy,8,0.77,4.36,1.61,23.05,25.9,16.38,340.88,297.91,439.65,8.68,1.24,,1.19,2.45,Bug'doy
NMNX-8123,0-20 sm,Loy,7.36,1.41,2.36,1.5,30.08,47.13,23.7,371.61,316.78,418.76,7.95,1.63,10.93,1.1,1.95,Bug'doy
NTXM-180,0-20 sm,Loy,7.41,1.11,4.26,1.35,24.96,33.73,22.02,388.89,383.34,381.45,8.37,1.73,6.26,1.14,2.65,Bug'doy
NMNT-172,0-20 sm,Loy,7.79,2,1.89,1.47,34.95,52.4,25.86,418.68,379.72,488.3,9.35,1.62,9.28,,,Bug'doy
NTXM-180,0-20 sm,Loy,8.12,0.42,4.01,1.57,38.01,41.29,25.52,389.77,374.5,440.02,9.31,1.26,4.58,0.62,0.79,Bug'doy
NMNX-172,0-20 sm,Loy,8.38,1.98,2.69,1.65,36.59,15.1,13.01,293.8,281.86,418.02,11.07,,12.29,0.51,1.33,Bug'doy
NTTM-142,0-20 sm,Loy,8.78,1.07,4.51,1.59,33.01,23.1,14.73,354.93,345.18,405.21,8.53,0.75,3.36,0.8,2.31,Bug'doy
NTXM-181,0-20 sm,Loy,7.91,2.06,2.33,1.6,18.4,50.44,27,396.06,347.64,402.64,10.19,1.35,11.42,0.98,2.53,Bug'doy
NMNX-173,0-20 sm,Loy,8.27,0.81,1.8,1.39,21.77,32.73,20.31,395.75,392.53,380.23,,1.47,6.68,0.98,1.97,Bug'doy
NTXM-182,0-20 sm,Loy,8.92,1.58,4.87,1.63,23.58,14.97,13.68,316.47,298.44,432.35,8.56,0.89,11.61,1,2.77,Bug'doy
NTTM-143,0-20 sm,Loy,6.91,1.03,1.38,1.46,38.69,60.99,32.65,428.36,393.22,426.78,8.92,2.11,12.55,1.27,2.85,Bug'doy
NMNX-8005,0-20 sm,Loy,8.05,1.64,4.16,1.55,35.95,26.69,17.6,346.27,350.83,391.73,13.16,1.21,3.77,0.87,1.15,Bug'doy
NMNX-8126,0-20 sm,Loy,8.05,2.16,3.19,1.64,18.5,42.23,22.2,370.99,345.75,411.27,5.95,,11.28,0.91,2.18,Bug'doy
NTXM-182,0-20 sm,Loy,8.64,1.17,3.86,1.52,31.33,32.24,20.04,363.11,336.85,461.86,11.87,1.13,4.07,1.09,0.82,Bug'doy
NTTM-144,0-20 sm,Loy,7.61,0.92,2.11,1.39,18.34,36.43,21.62,371.92,372.55,420.38,7.82,1.42,7.32,0.87,0.67,Bug'doy
NMNX-8368,0-20 sm,Loy,8.07,2.19,3.51,1.54,28.25,32.05,19.61,357.92,343.47,,10.29,1.03,9.05,1.22,2.47,Bug'doy
NTXM-183,0-20 sm,Loy,6.24,1.27,2.69,1.53,16.6,61.64,31.24,426.92,376.58,480.62,10.82,2.39,9.93,0.99,1.31,Bug'doy
TSPD-2032,0-20 sm,Loy,7.37,1.28,3.97,1.43,25.73,44.29,26.45,391.09,356.25,446.33,10.88,1.95,8.27,1.18,2.61,Bug'doy
Karta-143,0-20 sm,Loy,8.73,1.74,4.2,1.63,34.97,20.34,15.01,361.29,327.28,426.71,11.14,1.08,10.18,1.14,1.33,Bug'doy
NTXM-184,0-20 sm,Loy,6.31,1.41,2.97,1.42,21.27,70.25,33.9,406.09,387.83,,6.14,2.28,11.33,0.83,1,Bug'doy
Karta-144,0-20 sm,Loy,6.98,1.38,2.31,1.46,23.28,57.28,31.61,374.51,348.16,423.41,8.53,1.59,7.95,0.98,1.9,Bug'doy
Karta-145,,Loy,7.88,1.61,2.09,1.48,,42.65,22.78,377.41,370.53,448.55,8.68,1.09,4.54,1.07,1.4,Bug'doy
NMNX-9094,0-20 sm,Loy,6.37,0.9,1.69,1.55,32.2,45.4,23.24,,342.72,448.18,7.95,2.05,5.29,1.17,1.49,Bug'doy
TSPD-2035,0-20 sm,Loy,7.04,,3.73,1.49,25.6,40.37,22.59,,326.7,400.53,5.92,1.9,7.68,1.21,2.68,Bug'doy
NTTM-148,0-20 sm,Loy,6.71,0.55,3.37,1.56,38,29.2,17.66,,336.82,456.82,7.51,1.6,8.52,1.13,2.44,Bug'doy
NMNX-1262,0-20 sm,Loy,8.11,1.3,3.22,1.61,19.78,30.39,17.19,,325.12,399.03,10.72,0.92,11.38,0.93,2.73,Bug'doy
NMNX-167,0-20 sm,Loy,6.31,0.87,2.88,1.56,17.63,33.26,23.22,,378.91,379.99,8.46,2.02,10.47,0.74,1.74,Bug'doy
NMNX-168,0-20 sm,Loy,8.08,1.95,2.83,1.46,25.43,40.76,23,,359.53,435.51,11.89,1.13,6.2,0.89,0.84,Bug'doy
NTXM-177,0-20 sm,Loy,7.23,1.55,3.48,1.29,29.57,43.35,23.11,,361.23,397.6,10.45,1.82,4.19,1.15,2.84,Bug'doy
NMNT-169,0-20 sm,Loy,6.36,1.16,4.24,1.57,35.11,53.67,25.72,,353.97,396.22,8.97,2.23,4.28,1.14,1.75,Bug'doy
NMNX-8241,0-20 sm,Loy,8.37,1,4.62,1.49,32.31,24.43,16.09,,319.82,395.51,11.18,1.42,11.08,0.39,2.11,Bug'doy
NMNX-169,0-20 sm,Loy,,1.76,2.61,1.64,20.66,47.75,27.15,,326.77,474.97,9.3,1.96,6.23,0.73,0.94,Bug'doy
NTXM-178,0-20 sm,Loy,8.96,1.46,4.82,1.56,36.18,30.74,17.54,,340.07,467.52,12.15,0.85,3.38,0.64,2.47,Bug'doy
NMNX-8242,0-20 sm,Loy,6.86,0.75,1.44,1.44,36.08,55.14,30.95,,348.91,380.33,9.64,2.07,3.91,0.9,1.97,Bug'doy
NMNX-8363,0-20 sm,Loy,7.2,1.94,4.19,1.38,27.76,32.97,18.21,,301.22,461.48,10.81,1.21,9.66,0.92,2.52,Bug'doy
NTXM-178,0-20 sm,Loy,8.65,1.19,3.24,1.58,35.25,28.88,18.31,,344.94,457.42,10.6,1.18,3.57,0.93,1.41,Bug'doy
NMNX-170,0-20 sm,Loy,8.64,1.64,4.3,1.6,36.28,21.74,12.79,,287.79,426.16,11.04,0.8,12.65,1.25,3.53,Bug'doy
NMNT-171,0-20 sm,Loy,8.28,1.32,4.34,1.49,25.4,28.81,15.28,,337.24,400.1,9.67,1.23,,1.15,1.71,Bug'doy
NMNX-8364,0-20 sm,Loy,8.61,1,4.3,1.51,25.83,52.62,29.79,,394.87,388.16,6.71,0.85,10.3,0.96,2.1,Bug'doy
NTXM-180,0-20 sm,Loy,6.77,2.23,1.29,,32.3,65.58,34.16,,388.62,463.85,10.36,1.9,3.82,,1.66,Bug'doy
NMNX-8244,0-20 sm,Loy,7.85,1.02,4.72,1.52,23,34.84,22.56,,357.97,460.72,10.01,1.58,,0.71,0.58,Bug'doy
NMNX-172,0-20 sm,Loy,8.62,0.18,2.78,1.34,20.99,39.73,24.27,,386.08,386.26,6.99,0.68,9.37,1.28,3.87,Bug'doy
NTXM-181,0-20 sm,Loy,7.59,1.06,3.01,1.61,29.47,21.84,15.31,,293.46,406.01,12.17,1.08,9.21,1.12,1.12,Bug'doy
NMNT-173,0-20 sm,Loy,6.78,1.31,1.14,1.45,24.7,36.28,20,,320.58,442.84,8.7,1.68,5.68,1.1,1.97,Bug'doy
NTTM-142,0-20 sm,Loy,6.94,2.23,2.21,1.47,33,49.37,26.24,,350.03,377.19,9.28,2.14,14.89,1.09,2.86,Bug'doy
NMNX-8245,0-20 sm,Loy,8.74,1.45,2.63,1.53,33.07,22.96,15.26,,353.14,438.34,11.46,0.74,14.53,0.95,4.18,Bug'doy
NMNX-8246,0-20 sm,Loy,7.56,1.55,1.77,1.3,36.63,46.64,26.89,,379.6,499.38,9.12,1.55,14.44,0.89,3.53,Bug'doy
NTXM-182,0-20 sm,Loy,8.83,1.2,4.61,1.39,16.19,34.65,21.24,,352.67,382.88,12.54,0.63,3.96,0.81,1.51,Bug'doy
NTTM-144,0-20 sm,Loy,7.98,1.29,4.11,1.49,30.25,52.74,27,,352.43,400.1,11.14,1.33,10.1,0.61,3.82,Bug'doy
NMNX-8247,0-20 sm,Loy,6.78,1.64,4.76,1.51,20.89,39.9,21.86,,341.69,,6.5,1.7,3.5,1.16,3.88,Bug'doy
NMNX-8368,0-20 sm,Loy,8.79,1.45,4.46,1.53,39.66,38.27,23.95,,357.47,,7.85,0.5,9.72,0.74,0.6,Bug'doy
NTXM-183,0-20 sm,Loy,8.85,2.22,2.69,1.63,33.25,12.95,11.45,,315.51,431.62,9.38,0.54,10.78,1.15,2.07,Bug'doy
Karta-143,0-20 sm,Loy,7.39,2.04,4.27,1.63,30.03,23.15,16.95,,295.79,468.26,10.07,1.49,8.76,0.67,1.03,Bug'doy
NTTM-145,0-20 sm,Loy,8.58,1.21,3.15,1.56,22.51,26.97,14.87,,335.95,398.69,7.37,1.17,8.39,0.74,4.17,Bug'doy
