Namuna,Qatlam (sm),Mexanik tarkib,DNS (%),Tuproq zichligi (g/cm³),pH,EC (mS/cm),N (mg/kg),P (mg/kg),K (mg/kg),Gumus (%),Mg (mg/kg),S (mg/kg),Zn (mg/kg),Mn (mg/kg),B (mg/kg),Fe (mg/kg),Cu (mg/kg),Mikroorganizmlar(CFU/g),Ekin
NTXM-160,0-20 sm,Loy,27.5656748172452,1.47967000000002,6.10245624034451,0.541795474475125,38.6,22.9786216797365,261.357133388852,1.95,301.58,28.2,2.01,9.82,2.07,14.62,1.14,1928164541.79,Bug'doy
NMNT-152,0-20 sm,Gill,29.1531849397832,1.48058000000002,6.98924188951195,0.259267385620695,32.13,28.6435335710052,206.651130659358,0.99,345.85,24.28,1.11,9.32,1.59,11.13,0.88,855212710.74,Bug'doy
NMNX-3645,0-20 sm,Loy,31.2131119552558,1.48149000000002,7.31388465332732,0.369795191117094,66.33,20.5598837557936,190.46939895281,0.9,411.22,28.26,2.19,8.62,0.8,29.44,0.9,315777715,Bug'doy
NMNX-3766,0-20 sm,Gill,27.7772510173461,1.48240000000002,7.17962673440651,0.579953477530557,63.49,22.557664521602,288.81312127444,2.28,410.7,24.86,1.32,7.52,4.75,19.48,0.82,73987167.46,Bug'doy
NTXM-161,0-20 sm,Loy,28.2261089525252,1.48331000000002,6.47922528188912,0.312189028618615,41.91,17.5336921915827,189.310711998408,1.41,390.18,22.79,0.89,6.7,3.15,20.75,0.94,870137007.71,Bug'doy
NMNT-153,0-20 sm,Gill,31.7511947636006,1.48422000000002,6.95301702012329,0.581992908288098,19.46,27.6497411989803,186.295642271906,1.25,328.92,25.46,1.15,9.37,2.41,11.52,1.08,842476575.33,Bug'doy
NTTM-122,0-20 sm,Loy,27.1707911479448,1.48513000000002,6.61356191069838,0.352619275911936,54.85,16.8419654955768,288.225239772002,0.96,340.32,26.85,2.18,8.63,1.46,64.61,1.25,2869723908.23,Bug'doy
NMNX-3646,0-20 sm,Gill,35.1026596088594,1.48604000000002,6.9263724406545,0.252214581061475,20.91,15.1702728437605,158.422421539375,0.65,320.83,28.26,0.97,10.14,3.22,41.11,0.55,149313303.53,Bug'doy
NMNX-3767,0-20 sm,Loy,28.3568523634988,1.48695000000002,6.40769592792332,0.343105821605685,22.65,21.3304123890781,245.386763466637,0.86,349.06,29.8,1.82,9.5,1.17,69.76,0.97,,Bug'doy
NTXM-161,0-20 sm,Gill,27.5698273767045,1.48786000000002,6.85677262817488,0.41444222640514,40.29,15.9649718048775,298.871969841139,1.82,373.2,18.17,1.28,5.99,2.18,21.71,0.62,,Bug'doy
NMNX-3040,0-20 sm,Loy,37.2918459026225,1.48877000000002,6.75771236673091,0.481769901964298,31.82,26.5026754789091,202.454090896015,0.56,348.43,29.15,1.48,7.89,2.83,39.5,1.13,296882287.25,Bug'doy
NMNX-4484,0-20 sm,Gill,22.9087580098824,1.48968000000002,6.37974815158774,0.417999649806184,24.35,27.0568443781128,232.155975400738,1.66,322.46,25.44,1.58,10.44,4.86,20.43,0.93,315155468.48,Bug'doy
NMNX-152,0-20 sm,Loy,21.6534981871505,1.49059000000002,6.65150481116775,0.483536430386948,13.62,17.5038810147005,158.852019819974,1.97,296.38,23.49,0.6,7.23,1.49,21.16,1.11,592801275.94,Bug'doy
NTXM-161,0-20 sm,Gill,32.9424846145065,1.49150000000002,6.53633055196507,0.535016213112227,62.61,26.0270695142872,189.809679112413,1.54,372.44,24.99,1.71,8.74,1.02,14.01,0.58,780091677.23,Bug'doy
NTTM-122,0-20 sm,Loy,38.1134688363558,1.49241000000002,6.39019942583079,0.365096152149047,13.11,28.3673238076555,166.30627576049,1.54,358.54,28.67,0.53,8.88,4.24,13.11,0.93,428946646.4,Bug'doy
NMNX-3887,0-20 sm,Gill,29.5975425976875,1.49332000000002,6.7966791683479,0.26509367723132,39.85,22.3443459551498,202.910598379405,0.63,335.87,27.21,1,,1.75,17.38,1.01,805395375.63,Bug'doy
NTXM-161,0-20 sm,Loy,27.0137066857856,1.49423000000002,6.46497869120933,0.488701231417134,50.79,18.9747369999756,204.322850987985,1.18,317.78,27.64,1.61,9.09,1.07,12.38,0.87,,Bug'doy
NMNX-153,0-20 sm,Gill,33.2938055179094,1.49514000000002,7.27980379162321,0.442353904887185,14.42,15.6827536616917,192.194078358848,1.93,339.08,28.92,0.84,8.92,2.23,13.35,0.46,401471445.19,Bug'doy
NTTM-123,0-20 sm,Loy,35.8407587051174,1.49605000000002,7.24840204577531,0.427801586053908,20.52,19.1801858459408,299.702096903449,1.63,319.79,27.27,0.66,9.88,0.99,11.8,0.67,1161833237.49,Bug'doy
NMNX-3888,0-20 sm,Gill,39.9536404615243,1.49696000000002,6.49263082853576,0.537854747956727,31.74,20.3878627199368,208.832576343556,1.46,325.46,21.05,1.03,5.67,3.88,38.07,,1693882082.94,Bug'doy
NTXM-162,0-20 sm,Loy,20.3256540944288,1.49787000000002,7.15380992300781,0.384221431000379,18.9,23.5772842678675,276.431530723797,1.61,324.13,25.43,0.77,9.91,2.27,12.79,0.89,1727291115.69,Bug'doy
NTXM-162,0-20 sm,Gill,34.5886426349535,1.49878000000002,6.83045927388536,0.293357941613777,60.31,18.0478169861099,245.327775823303,1,,,1.52,8.04,3.01,10.73,0.53,213764706.71,Bug'doy
NMNX-4371,0-20 sm,Loy,30.5356932301819,1.49969000000002,6.55752741259524,0.386346103831732,17.16,22.2750862358581,272.348709956885,0.61,306.27,,0,8.46,1.26,11.61,1.13,750845132.17,Bug'doy
NMNX-4492,0-20 sm,Gill,21.9496817740652,1.50060000000002,6.52296057632078,0.269484299005171,50.74,29.8976116756181,153.842307182121,0.75,352.99,25.6,,7.92,2.23,12.59,1.13,64649003.68,Bug'doy
NTXM-163,0-20 sm,Loy,24.3071084925188,1.50151000000002,6.17694480545225,0.304622198376734,30.2,20.8084250053672,287.334260640855,1.66,315.66,23.84,1.05,7.97,1.64,10.5227472527472,0.49,,Bug'doy
NMNT-156,0-20 sm,Gill,28.1414994497068,1.50242000000002,7.22728786856387,0.461183878270109,26.38,16.7845228884554,269.32687670295,1.47,376.77,27.78,1.17,10.31,1.66,9.55520879120881,0.8,1690307464.91,Bug'doy
NMNX-4372,0-20 sm,Loy,20.7638032957218,1.50333000000002,6.65381695766629,0.254351859422947,45.36,29.123723014092,272.616098383369,2.24,337.29,26.24,1.52,9.33,2.33,8.58767032967032,1.31,961787053.82,Bug'doy
NTXM-164,0-20 sm,Gill,30.4965312127889,1.50424000000002,6.01344763569646,0.397745090666744,23.68,17.8002069462374,209.310977120271,1.39,314.2,27.39,1.41,6.23,3.07,7.62013186813191,0.68,376097661.06,Bug'doy
NMNT-157,0-20 sm,Loy,31.8644120201884,1.50515000000002,6.26738307944669,0.55465379807684,29.44,27.213841265749,297.301625064042,1.04,356.36,29.05,1.22,,1.01,6.65259340659341,1.17,,Bug'doy
NTTM-126,0-20 sm,Gill,39.8433316653584,1.50606000000002,6.61018399272255,0.559018712557716,42.9,29.830543011058,192.354959803192,0.9,343.81,27.06,1.35,6.86,4.59,5.68505494505492,0.88,2144070218.62,Bug'doy
NTXM-165,0-20 sm,Loy,29.8386924556542,1.50697000000002,6.65953125441378,0.257637977154169,46,26.9873676883711,199.067754984,0.97,341.24,26.73,1.4,7.12,1.35,4.71751648351652,0.76,457128619.88,Bug'doy
NMNX-157,0-20 sm,Gill,32.7679817854153,1.50788000000002,6.96077930492003,0.307981452061383,46.15,28.2231303310979,289.494608678863,0.84,357.26,23.88,1.79,6.65,1.7,3.74997802197801,0.37,2163411649.07,Bug'doy
NMNT-158,0-20 sm,Loy,29.8355219870043,1.50879000000002,7.09769592462493,0.201846425906698,51.37,28.4849256820825,234.734788279255,1.36,364.97,26.15,1.95,7.55,1.55,2.78243956043951,,1943158958.2,Bug'doy
NTTM-127,0-20 sm,Gill,25.7112127192774,1.50970000000002,7.0819383500699,0.372731778583898,51.91,19.273023096181,189.412997831345,0.97,359.22,27.65,1.21,7.62,1.73,1.81490109890111,1.18,694834746.95,Bug'doy
NMNX-4374,0-20 sm,Loy,37.3445107450385,1.51061000000002,6.32766113145595,0.548626499167776,24.86,17.2881265459776,283.479756381491,0.53,313.33,25.56,0.57,,2.37,0.847362637362615,0.86,1634634005.66,Bug'doy
NMNX-158,0-20 sm,Gill,30.1204120692302,1.51152000000002,6.76092965437312,0.270258575417669,45.08,24.1397162067446,212.600482255319,1.55,314.89,28.85,1.74,9.24,3.06,-0.120175824175785,1.18,1287091848.36,Bug'doy
NMNT-159,0-20 sm,Loy,23.3546952677571,1.51243000000002,7.48614740103544,0.470591199291833,13.6,28.3832934531926,298.866341698095,1.27,283.11,26.15,1.35,8.97,4.68,-1.08771428571428,0.82,,Bug'doy
NTTM-128,0-20 sm,Gill,34.0853398040304,1.51334000000002,7.38569388784802,0.514408229382829,51.41,23.0263539812538,262.944527907905,1.66,375.21,27.42,1.51,7.48,4.05,-2.05525274725279,1.36,402327918.05,Bug'doy
NMNX-4375,0-20 sm,Loy,24.0078126521732,1.51425000000002,7.19662926551336,0.556011989265446,47.08,24.8084481938451,241.330065840231,1.56,369.72,28.45,1.81,,2.48,-3.02279120879119,0.65,1706078762.25,Bug'doy
TSPD-2016,0-20 sm,Gill,34.2520192611308,1.51516000000002,6.62312863234503,0.410823977269582,48.04,16.1223670176348,282.24422560065,2.97,341.57,29.87,,8,1.89,-3.99032967032969,0.69,2517810052.66,Bug'doy
Karta-127,0-20 sm,Loy,21.8274199586408,1.51607000000002,6.93738299974067,0.229308826176082,37.81,29.5801521742276,263.41698996403,0.11,,28.68,1.11,8.76,1.5,-4.95786813186809,0.66,385289947.18,Bug'doy
NTTM-129,0-20 sm,Gill,37.1334484222222,1.51698000000002,6.9085084269756,0.38705005667061,35.01,18.0064254799053,153.612331156738,1.02,355.01,19.24,0.64,8.76,1.83,-5.92540659340658,0.57,2129334750.27,Bug'doy
NMNX-4617,0-20 sm,Loy,38.8961550710788,1.51789000000002,6.95717904585523,0.438664528862343,30.32,15.2316301174387,231.184848461113,1.71,314.75,29.81,1.98,7.1,4.15,-6.89294505494508,1.31,142152476.03,Bug'doy
NTXM-168,0-20 sm,Gill,31.5415898573036,1.51880000000002,7.0317063368244,0.348596867231808,64.06,24.6922542300795,226.554396398496,1.03,372.96,29.59,2.16,10.03,4.51,-7.86048351648348,,647241945.46,Bug'doy
TSPD-2017,0-20 sm,Loy,20.6348697108383,1.51971000000002,6.75652698764057,0.404475888766465,25.73,26.2576711617337,180.409922696822,1.8,333.79,23.48,0.83,8.81,4.03,-8.82802197802199,0.89,,Bug'doy
NTTM-130,0-20 sm,Gill,37.0080793346733,1.52062000000002,7.13578112412204,0.375879127001644,31.59,22.1603777934163,239.588297253108,1.77,374.01,29.27,1.01,9.32,4.19,-9.79556043956048,0.91,,Bug'doy
NMNX-4859,0-20 sm,Loy,22.1291848970564,1.52153000000002,6.80099073026549,0.532762663748692,29.48,27.6793113432504,225.512899029951,2.27,378.64,20.74,0.98,6.11,2.66,-10.7630989010989,1.11,206676043.34,Bug'doy
NMNX-4980,0-20 sm,Gill,22.0449830519465,1.52244000000002,6.35847789382571,0.271771396717879,53.43,24.8153640939395,152.701570462012,0.3,327.93,26.02,1.55,9.62,1.56,-11.7306373626374,0.6,827857527.53,Bug'doy
TSPD-2018,0-20 sm,Loy,35.3271751863716,1.52335000000002,6.53092755752002,0.405074722465076,35.5,16.3067048326379,274.89075972248,0.48,363.13,26.15,1,8.85,4.21,-12.6981758241758,0.76,2300227561.45,Bug'doy
Karta-129,0-20 sm,Gill,24.9779597832238,1.52426000000002,6.31203253050903,0.450245481315967,22.8,18.5881902320388,152.633562853378,0.99,285.38,19.5,1.41,9.42,2.4,-13.6657142857143,0.5,595022608.62,Bug'doy
NTTM-131,0-20 sm,Loy,28.9185532895316,1.52517000000002,6.47972027444504,0.20720248603223,40.51,18.8780950073816,238.633587024756,1.91,328.49,21.33,2.06,8.5,2.1,-14.6332527472528,,1066267052.51,Bug'doy
NMNX-5222,0-20 sm,Gill,33.4384046075555,1.52608000000002,6.3951358257829,0.471034238422021,49.71,22.5253820514729,291.574592240304,0.6,357.64,25.18,1.17,8.41,3.45,-15.6007912087912,1.02,2534119146.12,Bug'doy
NTXM-170,0-20 sm,Loy,36.7752884385815,1.52699000000002,7.28246328014655,0.272268374958635,29.74,21.4113880667203,204.465616815386,1.31,315.2,28.72,0.8,5.97,4.52,-16.5683296703297,1.11,688675284.67,Bug'doy
Karta-130,0-20 sm,Gill,30.7390753116809,1.52790000000002,7.12252778469105,0.401323339129593,53.39,19.1959938450654,234.225108661268,0.79,352.94,27.45,2.63,8.82,1.75,-17.5358681318681,1.07,155413320.28,Bug'doy
NTTM-132,0-20 sm,Loy,21.3832977696975,1.52881000000002,7.1665622870592,0.493849622368589,41.23,28.4523690672925,249.616538861363,0.69,356.52,29.04,2.42,8.46,3.27,-18.5034065934066,0.49,433964751.7,Bug'doy
NMNX-5343,0-20 sm,Gill,30.7259917024331,1.52972000000002,6.46062894041223,0.2635026278761,63.96,23.1211811266857,253.079721454394,0.99,355,24.67,1.86,,3.23,-19.4709450549451,1.13,2363724330.58,Bug'doy
Karta-131,0-20 sm,Loy,32.6573143765424,1.53063000000002,6.30797943109574,0.391215284340118,15.37,24.551285726017,190.684420833532,1.38,298.21,20.03,0.34,7.2,1.99,-20.4384835164835,0.99,1188820462.22,Bug'doy
NMNX-152,0-20 sm,Gill,28.8881838719445,1.53154000000002,7.18121415946711,0.598427875826071,59.94,27.9184410841744,279.270818879103,,392.8,26.16,1.38,7.72,4.16,-21.406021978022,1.09,,Bug'doy
NTXM-162,0-20 sm,Loy,28.4719001019289,1.53245000000002,7.3734209785698,0.411153099083566,20.95,25.3221685433192,277.26920476237,1.04,317.42,25.55,1.85,,2.14,-22.3735604395605,1.19,153661650.11,Bug'doy
NMNX-4611,0-20 sm,Gill,27.065290742375,1.53336000000002,7.35529998649682,0.538584601100405,57.61,21.3240778525046,235.325440946032,1.12,375.85,25.61,2.27,9.79,2.56,-23.3410989010989,0.82,356769807.06,Bug'doy
NTXM-163,0-20 sm,Loy,21.5361553505194,1.53427000000002,6.50149197309063,0.543727807579538,57.47,19.5910668895004,248.477577619046,1.13,327.65,27.45,2.39,7.33,3.45,-24.3086373626374,,2361035322.75,Bug'doy
NTTM-124,0-20 sm,Gill,38.0900461388985,1.53518000000002,6.69519720045666,0.570145616599348,62.05,23.7455375447854,241.343870529388,1.11,368.87,26.31,1.54,,4.53,-25.2761758241758,0.9,1799524767.76,Bug'doy
NMNX-4612,0-20 sm,Loy,21.7583177831803,1.53609000000002,7.0959149781899,0.411591332772274,26.14,22.375301997681,159.487486126178,2.08,330.19,27.56,0.52,9.92,4.07,1.03,0.55,1308869635.61,Bug'doy
NMNX-155,0-20 sm,Gill,32.496592426576,1.53700000000002,6.00343728010309,0.410561127220954,21.34,28.3235744170479,188.979909599538,1.66,325.76,25.1,1.37,8.18,2.61,0.87,0.53,745843543.93,Bug'doy
NTXM-164,0-20 sm,Loy,28.2717169108165,1.53791000000002,6.65881468005296,0.249880558464695,14.94,18.0745500767557,268.281878254649,0.71,318.63,27.54,0.64,7.77,1.99,1.56,1.26,52770559.21,Bug'doy
NMNX-4734,0-20 sm,Gill,32.3895109799367,1.53882000000002,7.26338585705697,0.413542197364886,40.5,19.2559103172903,165.540364417651,1.74,342.21,27.26,0.94,7.51,4.95,1.81,,,Bug'doy
NTXM-164,0-20 sm,Loy,23.8964418437085,1.53973000000002,6.48048016221358,0.568162271320638,50.92,19.8294435324587,184.663977714576,1.41,388.57,27.15,1.21,9.27,1.54,2.06,0.88,1276099853.3,Bug'doy
NMNX-156,0-20 sm,Gill,30.6378248039326,1.54064000000002,6.04476829809702,0.483560199557506,17.6,20.4776952970936,197.484780914106,2.01,262.22,23.68,0.23,8.56,1.97,2.43,0.67,1112694324.29,Bug'doy
NMNT-157,0-20 sm,Loy,36.9854151046042,1.54155000000002,6.55266156850408,0.495820860237678,25.11,20.7954111469171,175.540717826535,1.93,340.03,27.06,0.92,7.99,3.55,2.07,,687066483.67,Bug'doy
NTTM-126,0-20 sm,Gill,39.2798593493871,1.54246000000002,6.51952016073744,0.281314446176566,71.35,25.2209645755329,207.313323606958,2.14,396.24,27.72,1.69,9.68,0.91,2.32,1.23,769970339.83,Bug'doy
NTXM-165,0-20 sm,Loy,25.9626287877279,1.54337000000002,6.94133082033527,0.485848311920246,54.71,18.5756147496537,172.614949520731,,365.48,24.88,2.74,8,4.28,1.67,1.13,,Bug'doy
NMNX-157,0-20 sm,Gill,36.8992280224997,1.54428000000002,6.52955892442509,0.341104506883559,61.76,17.7763929347677,235.325249305029,2.48,422.43,29.3,1.92,7.56,3.34,2.22,1.01,1262801252.82,Bug'doy
NMNT-158,0-20 sm,Loy,34.9746243121376,1.54519000000002,6.58141146741558,0.462175453112638,32.78,28.4487128921698,228.660159782203,0.59,334.74,26.14,1.83,6.16,4.07,3.79,0.92,261082109.08,Bug'doy
NTTM-127,0-20 sm,Gill,21.7763544164039,1.54610000000002,7.27060409280542,0.353542296832916,35.2,29.3007402933089,196.427566152108,1.52,355.29,23.97,1.49,7.81,1.51,2.56,0.7,243958068.39,Bug'doy
NMNX-4615,0-20 sm,Loy,23.1999881409101,1.54701000000002,6.14978249003386,0.295903209338022,41.73,22.7535357957837,150.943364724939,1.14,374.18,26.55,1.32,9.19,1.75,1.92,1.13,273778612.46,Bug'doy
NMNX-4736,0-20 sm,Gill,39.5328147212381,1.54792000000002,7.17475401085827,0.332048694160202,35.11,29.8965979661064,239.123845700845,1.63,375.34,25.57,1.98,10.96,3.89,1.57,1.25,991968304.67,Bug'doy
NTXM-167,0-20 sm,Loy,33.2361300128842,1.54883000000002,6.13476073082564,0.545275008663087,16.88,23.6191654884982,290.390329123219,2.45,325.24,22.87,0.65,7.76,2.93,1.43,1.08,,Bug'doy
NTTM-128,0-20 sm,Gill,22.6179308664989,1.54974000000002,7.33689282721792,0.290775127528036,35.74,28.0293719853971,167.943027933555,1.84,311.29,23.16,1.58,7.52,1.08,2.72,1.28,158315405.21,Bug'doy
NMNX-4616,0-20 sm,Loy,27.6953775732893,1.55065000000002,6.51355678761544,0.45224104169049,60.12,24.6394126777315,283.446862231173,0.76,385.07,25.68,2.31,9.16,4.66,2.14,1.01,1692525111.97,Bug'doy
NMNX-159,0-20 sm,Gill,30.4493793261508,1.55156000000002,7.27444343020507,0.250624945177769,66.07,22.1554219539879,157.184468144572,1.38,383.51,28.14,2.12,9.38,2.46,1.74,0.8,2116450723.61,Bug'doy
NTXM-168,0-20 sm,Loy,21.1068806523777,1.55247000000002,6.90288024106686,0.277556104920055,47.08,17.5685659404339,205.976260871158,1,350.79,23.94,1.98,9.35,1.54,1.91,1.19,526728589.97,Bug'doy
NTTM-129,0-20 sm,Gill,38.579431430715,1.55338000000002,6.30262279268199,0.21980673976028,24.57,24.8606230399885,272.869999461675,0.92,327.81,29.48,0.56,8.27,0.94,1.66,1.28,821583454.89,Bug'doy
NTXM-168,0-20 sm,Loy,26.3032856658582,1.55429000000002,6.3098304204213,0.321016343700097,30.31,15.2091609061377,193.005208436323,0.99,321.59,25.95,1.89,7.11,2.46,0.99,0.72,204224367.65,Bug'doy
NTTM-130,0-20 sm,Gill,34.0786014731207,1.55520000000002,7.4908874173758,0.212043983508828,68.53,26.1568695731728,255.216450678888,,422.07,25.79,1.94,9.73,3.92,2,1.03,1743264480.17,Bug'doy
NMNX-4859,0-20 sm,Loy,31.6452465469217,1.55611000000002,6.97480522940445,0.50967297458837,17.24,20.8717560064125,243.405354401143,0.47,304.88,28.87,0.93,6.5,1.12,0.98,0.81,1067688401.19,Bug'doy
NTXM-169,0-20 sm,Gill,34.8839652494937,1.55702000000002,7.0243879042021,0.244198032789516,24.17,26.677738362159,275.754818427265,1.13,274.87,24.59,0.57,8.98,3.89,0.97,0.48,1697263846.12,Bug'doy
TSPD-2018,0-20 sm,Loy,29.518181841669,1.55793000000002,7.2185898367325,0.560308819943787,18.87,29.6608074098291,154.542422457127,1.35,293.18,26.01,0.59,10.73,1.98,1.64,0.86,229044223.44,Bug'doy
NTXM-170,0-20 sm,Gill,39.4002382464963,1.55884000000002,6.10768755328016,0.534239084769319,15.31,22.350658475168,235.941762013539,2.12,301.21,26.36,0.73,7.29,2.51,1.82,1.02,1515393494.68,Bug'doy
TSPD-2019,0-20 sm,Loy,25.5592483856927,1.55975000000002,6.94683847335972,0.44413185731307,30.05,23.1646587706281,189.579349617206,1.17,326.39,21.4,0.55,8.62,0.53,2.03,0.94,811678808.84,Bug'doy
NTTM-132,0-20 sm,Gill,21.6425591519938,1.56066000000002,7.24695987507097,0.435194819556494,29.82,22.3982374810254,156.888714817197,1.24,354.68,27.01,0.29,5.92,2.8,1.62,1.02,131385997.1,Bug'doy
TSPD-2020,0-20 sm,Loy,29.4561105211318,1.56157000000002,6.56294541955424,0.466029411245587,44,18.7520507192496,267.306078949912,0.8,370.07,14.89,1.98,7.95,2.48,1.56,0.99,1766682766.54,Bug'doy
Karta-131,0-20 sm,Gill,39.5255734949402,1.56248000000002,7.47059593454762,0.281195945981261,50.52,20.4793731160652,177.097144464737,1.9,340.86,23.23,1.62,6.23,1.59,1.87,0.67,578547288.53,Bug'doy
NTTM-133,0-20 sm,Loy,34.5414742362956,1.56339000000002,7.01215485021078,0.243832549489041,42.94,28.8387711500277,215.650474972523,1.04,337.82,17.22,0.8,8.98,2.37,1.62,1.26,,Bug'doy
NMNX-5585,0-20 sm,Gill,29.3512065055843,1.56430000000002,6.10733051416589,0.369201998321925,48.11,27.9002431162584,183.922641634623,0.83,344.9,17.01,1.49,6.45,0.92,3.21,0.78,788484530.33,Bug'doy
NMNX-5706,0-20 sm,Loy,38.2673905638031,1.56521000000002,6.92645626872641,0.215280284624829,15.49,16.230789946782,172.66554462566,1.93,351.42,21.8,0.49,6.25,1.47,1.63,1.05,901496301.53,Bug'doy
TSPD-2021,0-20 sm,Gill,39.0880177722224,1.56612000000002,6.43766477376573,0.538902411732545,25.83,27.6864041791092,268.292028945967,2.08,306.65,29.92,2.12,7.41,2.49,1.82,0.9,433084583.07,Bug'doy
NTTM-134,0-20 sm,Loy,23.6500478547685,1.56703000000002,6.99489766893994,0.321101698100991,29.11,20.5791813986078,160.383344497003,0.88,329.79,27.33,1.08,8.85,4.33,1.61,0.68,1466068870.79,Bug'doy
NTXM-163,0-20 sm,Gill,28.6888155991268,1.56794000000002,6.05320592900564,0.542426200206344,28.95,24.9912600517462,276.415113546783,1.75,358.86,25.21,0.91,6.39,3.88,1.08,0.8,62040612.61,Bug'doy
NTTM-124,0-20 sm,Loy,37.8462610606765,1.56885000000002,7.37938446868961,0.27176169571185,23.09,26.1554633065245,246.851211070579,1.88,322.97,29.72,0.66,8.9,3.4,1.07,0.82,1075165717.78,Bug'doy
NMNX-4853,0-20 sm,Gill,27.7158766743452,1.56976000000002,7.07578485226493,0.323965235069123,48.53,20.3151125946936,265.999443196607,1.38,379.52,16.23,1.5,,1.69,1.58,0.9,495713526.26,Bug'doy
NTXM-163,0-20 sm,Loy,29.5232823505388,1.57067000000002,6.96046575065059,0.593866711313995,62.75,23.3423308049896,271.670166506667,,,17.19,1.83,7.85,2.47,1.944,1.12,1595789483.02,Bug'doy
NMNX-155,0-20 sm,Gill,23.084565804199,1.57158000000002,6.24999660778072,0.506203755157933,18.56,20.2956954469664,287.481834417252,2.05,305.87,17.46,,7.23,4.07,1.08,0.62,661686649.99,Bug'doy
NMNT-156,0-20 sm,Loy,24.4063012126866,1.57249000000002,6.15512659681275,0.535126848105721,26.13,23.7780919746333,162.197201498654,1.22,320.11,25.84,0.65,7.87,4.53,1.24,0.86,389416764.79,Bug'doy
NTTM-125,0-20 sm,Gill,32.6494576033803,1.57340000000002,6.08427875917038,0.216754778391739,61.99,24.1738445237849,253.660932812399,1.88,319.62,27.13,1.55,7.39,1.23,0.756,0.97,2423420487.2,Bug'doy
NMNX-156,0-20 sm,Loy,28.6236339161907,1.57431000000002,6.09499492784925,0.467577312982101,15.05,26.2913008637095,299.135885196389,,331.36,27,0.8,8.73,4.79,1.097,0.77,173469356.69,Bug'doy
NTTM-126,0-20 sm,Gill,37.0105708589749,1.57522000000002,7.01837838024934,0.462134467693353,24.84,18.1205495103233,226.619091752576,1.68,300.44,21.21,1.01,6.79,4.89,1.52,0.34,482020578.18,Bug'doy
NMNX-4976,0-20 sm,Loy,36.315587828837,1.57613000000002,6.07575985256715,0.391831529752144,32.07,17.1776135217905,295.478676815666,1.38,350.54,24.36,0.68,8.63,3.44,0.946,0.65,939118642.24,Bug'doy
NTXM-165,0-20 sm,Gill,38.6691175196742,1.57704000000002,6.94171098045737,0.590108404724451,23.5,23.9795277950307,176.24806196087,0.61,316.71,27.74,1.41,6.73,4.82,1.293,0.45,134460613.33,Bug'doy
NMNX-157,0-20 sm,Loy,23.2964827049091,1.57795000000002,6.13212730944671,0.339530461838576,28.69,26.8845734472436,237.034907655903,1.66,370.25,29.69,0.49,8.41,1.49,0.955,0.81,536646052.4,Bug'doy
NTXM-166,0-20 sm,Gill,21.8869551185633,1.57886000000002,7.43819355696517,0.202089278236363,36.94,27.4402620725684,156.911182354507,1.13,338.93,14.19,0.74,7.08,3.24,2.994,1.17,738022831.87,Bug'doy
NMNX-4856,0-20 sm,Loy,35.7545040192314,1.57977000000002,6.90351866860954,0.210526900005499,36.34,29.4155495447434,259.003805677415,0.78,310.44,12.58,,8.36,3.91,1.717,1.08,2177666398.87,Bug'doy
NMNX-4977,0-20 sm,Gill,29.4395765295757,1.58068000000002,6.87181641709174,0.35165738270987,29.57,22.0880325941023,243.897771937783,1.38,298.82,28.71,1.09,10.02,0.82,1.079,,,Bug'doy
NTXM-166,0-20 sm,Loy,37.5028817795979,1.58159000000002,7.13470351863619,0.418844697634778,31.18,22.0956170773681,268.693371027755,2.01,343.89,23.45,1.82,8.37,2.96,1.236,0.36,610870892.56,Bug'doy
NMNX-158,0-20 sm,Gill,21.5811382382551,1.58250000000002,7.07315605343037,0.208107866362556,53.27,23.661660175123,232.690813096325,1.38,380.18,25.22,2.1,6.97,1.07,2.316,1.06,580914608.78,Bug'doy
NMNT-159,0-20 sm,Loy,35.3003538079887,1.58341000000002,6.40808150280437,0.292208779303243,18,17.0908519817881,242.807150322729,1.32,318.58,17.86,1.39,10.44,2.57,1.107,0.87,1803125595.48,Bug'doy
NTTM-128,0-20 sm,Gill,36.76887105749,1.58432000000002,6.94557830820528,0.28745929028582,31.97,24.7690070681954,299.837829528674,0.7,293.88,28.85,1.08,6.93,2.06,1.094,0.81,1927747503.94,Bug'doy
NMNX-4857,0-20 sm,Loy,24.9551599065594,1.58523000000002,6.06320574390358,0.498763921303942,57.5,15.6765346579877,244.433645354188,2.37,380.93,21.71,1.31,7.15,1.31,1.024,0.98,53072782.42,Bug'doy
NMNX-4978,0-20 sm,Gill,32.9306969478751,1.58614000000002,6.09874583848868,0.448390911314957,48.03,24.8447647022111,286.949539508691,0.95,341.61,28.35,1.63,6.62,4.87,1.273,0.73,248887492.32,Bug'doy
NTXM-167,0-20 sm,Loy,33.5975916164667,1.58705000000002,6.17811594770836,0.561036335066403,11.59,20.8681376998266,226.255704220512,2.37,318.82,15.96,0.47,8.34,1.56,2.307,0.88,555189565.1,Bug'doy
NTTM-129,0-20 sm,Gill,23.3148404749696,1.58796000000002,7.18784442815471,0.357969084576515,23.94,29.2073840766439,288.757745899848,1.79,352.57,16.01,1.6,9.83,1.55,0.51,0.71,764388808.99,Bug'doy
