"Sample","Layer (cm)","Mechanical Composition","FC (%)","Soil Density (g/cm³)","pH","Soil EC (mS/cm)","Nitrogen (mg/kg)","Phosphorus (mg/kg)","Potassium (mg/kg)","Humus (%)","Mg (mg/kg)","S (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","B (mg/kg)","Fe (mg/kg)","Cu (mg/kg)","Microorganisms (CFU/g)","crop"
"NMNT-147","0-20 sm","Gill","33.924697293464","23.869831488828","7.4735781537239","0.22705314339627","41.03","29.159165597791","227.40041702842","2.01","340.91","28.9","3.93","8.22","3.82","49.43","0.67","1581419908.05","Bug'doy"
"NTTM-116","0-20 sm","Gill","33.493308918623","19.040185026073","6.7499410766267","0.59514545349139","28.29","21.381001281847","168.80807470298","1.64","338.02","26.18","3.96","9.26","2.46","14.56","0.82","1571370926.58","Bug'doy"
"NMNX-2194","0-20 sm","Gill","36.185580190786","22.455153769072","7.0915030026967","0.3406676646046","52.03","20.476299988816","242.28006909884","2.39","391.31","26.69","3.92","10.15","0.94","75.82","0.78","1239408463.29","Bug'doy"
"NMNX-2315","0-20 sm","Gill","35.775707485548","21.167019922461","7.0341276536074","0.54168267786908","26.54","29.398946650726","241.61512141444","0.59","304.53","29.54","4","","2.4","17.08","0.73","","Bug'doy"
"NTXM-154","0-20 sm","Gill","25.32151904352","15.957088190567","6.7595106824277","0.59563282721696","53.03","15.450072880397","259.51370921609","1.72","371.97","28.72","3.94","","4.52","15.39","0.93","1593922720.32","Bug'doy"
"NMNT-147","0-20 sm","Gill","33.050979665853","28.66217429464","6.1688224243423","0.54818037961966","50.65","24.068614711773","292.92258910508","0.49","371.37","22.33","3.93","8.47","1.68","17.62","","1123563980.89","Bug'doy"
"NTTM-116","0-20 sm","Gill","21.607140402456","28.977968963133","7.1520189913334","0.50967418227066","45.3","27.727805199005","192.30969877258","1.91","328.15","28.58","3.96","","0.58","9.72","0.89","428823143.61","Bug'doy"
"NMNX-2435","0-20 sm","Gill","38.375711636351","25.02288810055","6.2530724145009","0.43887431839899","41.22","19.554769235401","239.21085879374","1.99","355.08","26.6","3.95","5.64","3.61","10.28","0.81","295572765.48","Bug'doy"
"NTXM-155","0-20 sm","Gill","39.012050593625","15.304919612094","6.6979744206561","0.44596538184322","63.55","21.338088922471","241.46566815514","","403.92","28.78","3.99","8.64","1.49","11.38","0.57","1593808683.17","Bug'doy"
"NTXM-156","0-20 sm","Gill","37.054591158877","18.069615343779","7.4574973302862","0.34132320241211","27.44","28.333569001215","237.57344674433","1.63","329.67","28.53","3.92","10.56","1.45","20.78","0.71","1680594885.57","Bug'doy"
"NTTM-117","0-20 sm","Gill","25.998040484876","15.814963012598","6.458408025232","0.5617841450758","24.66","15.021803851709","203.1202469648","1.62","314.25","21.8","3.98","5.89","2.74","50.87","1.03","138436390.86","Bug'doy"
"NMNX-2557","0-20 sm","Gill","27.795986730988","15.979864135611","6.1538680394653","0.50059432278091","32.49","19.727552559172","264.98504900857","","337.28","19.43","4","7.92","3.83","12.90","0.33","682892307.97","Bug'doy"
"NTXM-156","0-20 sm","Gill","23.298798510743","17.952024030391","7.0599248095573","0.5028676231478","47.54","17.825144616229","198.46912672727","0.75","340.49","22.72","3.93","8.18","2.46","18.52","0.73","1138917068.57","Bug'doy"
"NMNX-3035","0-20 sm","Gill","27.620547241092","27.548146801899","6.7102831201115","0.24878891604333","52.49","19.577697237458","253.45986371421","1.35","","27.77","3.96","7.54","4.44","13.41","0.59","181728229.54","Bug'doy"
"NMNX-147","0-20 sm","Gill","23.41033760494","26.693786125348","7.1015152488322","0.32836396361019","40.93","20.66338974161","247.1928080349","2.11","369.82","26.74","3.98","7.85","4.57","15.42","1.3","922794119.9","Bug'doy"
"NMNT-148","0-20 sm","Gill","21.238167784721","15.322152550217","6.0027964036918","0.3710743611724","60.27","24.332815256176","246.14207667581","","392.42","27.25","3.98","9.08","1.78","29.61","0.58","","Bug'doy"
"NMNX-2798","0-20 sm","Gill","38.080667523647","16.687350656781","7.1667319226697","0.58867233826745","36.19","17.268986443742","299.89766071905","1.03","353.38","24.21","3.96","9.55","1.8","8.52","1.07","106207436.04","Bug'doy"
"NMNX-148","0-20 sm","Gill","22.327947277406","27.996451352965","6.1913068256442","0.59657029228873","27.88","28.426382365007","201.89445445623","1.95","323.52","24.97","3.95","9.39","1.98","61.90","0.86","273314203.02","Bug'doy"
"NMNX-2799","0-20 sm","Gill","21.738437774501","19.531633587864","6.1785496879407","0.39304429735694","21.06","24.030354915665","157.27752863038","2.05","292","24.85","3.99","6.55","3.51","54.84","0.64","692989743.58","Bug'doy"
"NMNX-4480","0-20 sm","Gill","25.861294696002","19.222148888478","6.0896937726574","0.55612242239433","27.67","19.669764024484","299.76628870604","0.92","320.32","28.79","3.99","7.57","1.48","16.71","0.37","951363731.23","Bug'doy"
"NMNX-148","0-20 sm","Gill","26.808112224284","29.934271092108","6.642871556994","0.58469107959343","24.74","22.659429612557","257.97171363602","1.13","310.9","18.33","3.95","8.55","1.31","13.95","0.88","1037106865.77","Bug'doy"
"NTXM-157","0-20 sm","Gill","29.331820272695","20.328673457721","6.7308026130466","0.57391963829904","41.11","15.014402777164","182.95249685019","1.82","356.71","24.92","3.92","8.17","1.44","26.45","0.95","151529315.56","Bug'doy"
"NMNX-3040","0-20 sm","Gill","26.778577266047","17.554217098459","6.8637216284736","0.25161153182839","19.25","22.183675148377","169.94923918363","0.85","326.14","29.21","0","6.63","0.88","21.56","0.77","","Bug'doy"
"NMNX-149","0-20 sm","Gill","23.138239468251","21.309333388927","7.4138390732737","0.3737826685623","20.57","17.941543478087","228.74060770925","1.21","309.54","28.42","0.74","9.15","1.68","48.57","0.88","526334706.97","Bug'doy"
"NTXM-158","0-20 sm","Gill","33.324871158868","19.279580203726","7.2374282348768","0.54393499105207","24.38","23.977109474287","218.82404184473","1.18","305.42","23.96","0.55","8.68","3.66","45.05","1.23","2091649598.14","Bug'doy"
"NMNX-3041","0-20 sm","Gill","37.55058944861","29.664156436526","6.3217250436711","0.34122341876903","52.45","16.698555101808","245.25347284776","1.9","374.07","26.48","2.04","9.52","4.43","84.33","1.1","1101521292.57","Bug'doy"
"NTXM-158","0-20 sm","Gill","32.420797719506","25.400921761694","7.1699290841023","0.39294457130191","19.15","28.32869126728","227.75540796417","1.58","326.43","20.71","0.82","10.08","4.75","97.29","0.8","1204347104.72","Bug'doy"
"NMNX-4481","0-20 sm","Gill","39.542859515175","20.99515463313","6.3218752115214","0.30613290360325","55.92","23.881797973662","283.00898290689","1.08","362.78","27.33","1.62","7.51","3.86","79.65","0.62","98568161.42","Bug'doy"
"NTXM-158","0-20 sm","Gill","34.475971642151","22.138230310536","6.2951778230532","0.5025215619223","50.07","17.757608379737","168.36601657217","0.74","","28.51","1.14","8.45","1.48","99.34","0.67","85635236.22","Bug'doy"
"NMNT-150","0-20 sm","Gill","20.752711104341","23.022504825324","6.5334349062554","0.32084746510951","50.62","28.981916116059","269.11651243319","1.55","411.44","24.83","2.52","9.66","0.92","13.75","1.05","293856790.65","Bug'doy"
"NMNX-3161","0-20 sm","Gill","29.544781509442","15.666214849277","6.6801355417381","0.51026044854897","31.04","19.323474608831","252.66490308749","1.33","336.05","28.72","1.65","7.08","3.35","26.36","1.11","255330145.72","Bug'doy"
"NTXM-158","0-20 sm","Gill","26.07866673016","24.160554653471","6.3216259044659","0.44182262058886","16.46","18.168985200199","167.49432438617","0.5","333.41","23.32","0.58","","2.5","35.93","1.15","155872546.8","Bug'doy"
"NMNX-150","0-20 sm","Gill","29.709357421663","19.886406669821","6.1470105815393","0.35862812253935","33.8","17.392396715045","264.15782476785","0.54","355.93","24.85","1.67","9.43","0.94","59.83","1.04","308654587.3","Bug'doy"
"NMNT-151","0-20 sm","Gill","25.262955105966","16.133100384516","6.8346882787215","0.33039035611269","20.27","18.873641575659","254.66390229765","1.17","303.32","24.13","1.56","9.15","4.93","34.18","0.65","323845087.75","Bug'doy"
"NMNX-3162","0-20 sm","Gill","32.385599223009","23.419288248868","7.2822076954113","0.27130823848547","53.43","23.568869469036","165.40874504457","1.44","381.13","21.03","","10.35","1.62","90.58","0.71","236290526.3","Bug'doy"
"NTXM-159","0-20 sm","Gill","28.558925284036","21.419337223092","7.1929354859449","0.42088272795524","35.87","17.311044975262","180.2721345355","0.55","330.42","24.03","0.52","7.12","0.59","8.92","1.3","806106874.59","Bug'doy"
"NMNX-4482","0-20 sm","Gill","35.958125492539","29.811412023829","6.6072471252931","0.43173088306133","37.76","28.379089220591","207.97520889387","1.03","383.74","24.48","0.63","9.98","0.55","16.81","0.87","","Bug'doy"
"NMNX-150","0-20 sm","Gill","23.608883507465","17.569539998538","6.9050918832688","0.47094006557989","43.82","21.730739166358","153.41008604363","2.1","376.32","21.58","1.32","8.53","4.69","19.47","0.72","225960202.8","Bug'doy"
"NTXM-159","0-20 sm","Gill","32.898158925244","24.173703850439","6.6114678125003","0.26810099816259","50.58","16.142931381605","169.29350133479","0.83","329.19","25.11","2.04","10","4.71","13.77","1.06","2148407447.5","Bug'doy"
"NMNT-151","0-20 sm","Gill","27.30593657312","22.262794102312","7.4719057977111","0.54311276022408","48.29","27.519202719967","208.79664687252","0.82","375.72","29.72","1.65","5.93","4.89","26.24","0.62","","Bug'doy"
"NMNX-3403","0-20 sm","Gill","26.746199283722","23.393364523039","7.2092085035145","0.35157480306767","24.94","20.740409717169","159.37055917626","1.45","347.25","21.83","0.48","5.92","0.92","12.81","0.99","390574579.18","Bug'doy"
"NTXM-159","0-20 sm","Gill","29.329772638215","24.473474475434","6.6387725620079","0.293271116259","44.83","24.892607269788","188.32975299217","1.89","321.56","28.29","1.59","7.26","1.07","50.95","","664668663.57","Bug'doy"
"NTTM-121","0-20 sm","Gill","32.058007527007","25.899834824167","6.3894127395509","0.58436809055737","23.7","21.321718589696","267.56070946033","1.9","326.2","21.58","0.38","10.53","1.26","20.53","","420134571.61","Bug'doy"
"NMNX-3525","0-20 sm","Gill","24.471588091748","16.463572019584","6.3821274212301","0.44825524975299","22.04","17.523314379615","290.38063667699","0.29","315.41","19.99","1.02","8.59","4.56","8.04","1.14","158725918.46","Bug'doy"
"NMNX-3039","0-20 sm","Gill","24.297556472035","23.084214067673","6.447660382615","0.35880068846494","45.05","16.771905006398","241.45403582559","0.31","334.75","20.95","1.18","7.54","2.94","8.62","0.41","2102437426.05","Bug'doy"
"NMNX-4483","0-20 sm","Gill","24.637611446164","26.415771591389","6.8635258748164","0.23136025597299","44.24","24.662863235216","198.92786796492","2.12","369.94","25.85","1.11","8.6","4.64","12.80","1.06","1387860852.55","Bug'doy"
"NTXM-159","0-20 sm","Gill","39.940469141903","17.681667464364","6.5144109469887","0.57543919985328","30.11","20.109738470786","214.99484999751","1.62","308.15","25.49","1.23","","3.73","12.93","1.17","445535558.79","Bug'doy"
"NTXM-160","0-20 sm","Gill","27.565674817245","27.567983875492","6.1024562403445","0.54179547447512","38.6","22.978621679736","261.35713338885","1.95","301.58","28.2","2.01","9.82","2.07","14.62","1.14","1928164541.79","Bug'doy"
"NMNT-152","0-20 sm","Gill","29.153184939783","26.322116482325","6.989241889512","0.2592673856207","32.13","28.643533571005","206.65113065936","0.99","345.85","24.28","1.11","9.32","1.59","11.13","0.88","855212710.74","Bug'doy"
"NMNX-3645","0-20 sm","Gill","31.213111955256","19.872393008006","7.3138846533273","0.36979519111709","66.33","20.559883755794","190.46939895281","0.9","411.22","28.26","2.19","8.62","0.8","29.44","0.9","315777715","Bug'doy"
"NMNX-3766","0-20 sm","Gill","27.777251017346","17.186064627672","7.1796267344065","0.57995347753056","63.49","22.557664521602","288.81312127444","2.28","410.7","24.86","1.32","7.52","4.75","19.48","0.82","73987167.46","Bug'doy"
"NTXM-161","0-20 sm","Gill","28.226108952525","18.145363113373","6.4792252818891","0.31218902861862","41.91","17.533692191583","189.31071199841","1.41","390.18","22.79","0.89","6.7","3.15","20.75","0.94","870137007.71","Bug'doy"
"NMNT-153","0-20 sm","Gill","31.751194763601","26.041322353322","6.9530170201233","0.5819929082881","19.46","27.64974119898","186.29564227191","1.25","328.92","25.46","1.15","9.37","2.41","11.52","1.08","842476575.33","Bug'doy"
"NTTM-122","0-20 sm","Gill","27.170791147945","28.098559241083","6.6135619106984","0.35261927591194","54.85","16.841965495577","288.225239772","0.96","340.32","26.85","2.18","8.63","1.46","64.61","1.25","2869723908.23","Bug'doy"
"NMNX-3646","0-20 sm","Gill","35.102659608859","15.309218008774","6.9263724406545","0.25221458106147","20.91","15.170272843761","158.42242153937","0.65","320.83","28.26","0.97","10.14","3.22","41.11","0.55","149313303.53","Bug'doy"
"NMNX-3767","0-20 sm","Gill","28.356852363499","20.693505362158","6.4076959279233","0.34310582160568","22.65","21.330412389078","245.38676346664","0.86","349.06","29.8","1.82","9.5","1.17","69.76","0.97","","Bug'doy"
"NTXM-161","0-20 sm","Gill","27.569827376704","16.838776296858","6.8567726281749","0.41444222640514","40.29","15.964971804878","298.87196984114","1.82","373.2","18.17","1.28","5.99","2.18","21.71","0.62","","Bug'doy"
"NMNX-3040","0-20 sm","Gill","37.291845902622","23.593445328324","6.7577123667309","0.4817699019643","31.82","26.502675478909","202.45409089602","0.56","348.43","29.15","1.48","7.89","2.83","39.50","1.13","296882287.25","Bug'doy"
"NMNX-4484","0-20 sm","Gill","22.908758009882","28.699378973433","6.3797481515877","0.41799964980618","24.35","27.056844378113","232.15597540074","1.66","322.46","25.44","1.58","10.44","4.86","20.43","0.93","315155468.48","Bug'doy"
"NMNX-152","0-20 sm","Gill","21.653498187151","26.068889290067","6.6515048111677","0.48353643038695","13.62","17.503881014701","158.85201981997","1.97","296.38","23.49","0.6","7.23","1.49","21.16","1.11","592801275.94","Bug'doy"
"NTXM-161","0-20 sm","Gill","32.942484614506","26.641476045115","6.5363305519651","0.53501621311223","62.61","26.027069514287","189.80967911241","1.54","372.44","24.99","1.71","8.74","1.02","14.01","0.58","780091677.23","Bug'doy"
"NTTM-122","0-20 sm","Gill","38.113468836356","24.634280981284","6.3901994258308","0.36509615214905","13.11","28.367323807655","166.30627576049","1.54","358.54","28.67","0.53","8.88","4.24","13.11","0.93","428946646.4","Bug'doy"
"NMNX-3887","0-20 sm","Gill","29.597542597688","27.804868009206","6.7966791683479","0.26509367723132","39.85","22.34434595515","202.91059837941","0.63","335.87","27.21","1","","1.75","17.38","1.01","805395375.63","Bug'doy"
"NTXM-161","0-20 sm","Gill","27.013706685786","24.490987975585","6.4649786912093","0.48870123141713","50.79","18.974736999976","204.32285098798","1.18","317.78","27.64","1.61","9.09","1.07","12.38","0.87","","Bug'doy"
"NMNX-153","0-20 sm","Gill","33.293805517909","18.572078930862","7.2798037916232","0.44235390488719","14.42","15.682753661692","192.19407835885","1.93","339.08","28.92","0.84","8.92","2.23","13.35","0.46","401471445.19","Bug'doy"
"NTTM-123","0-20 sm","Gill","35.840758705117","26.679496910528","7.2484020457753","0.42780158605391","20.52","19.180185845941","299.70209690345","1.63","319.79","27.27","0.66","9.88","0.99","11.80","0.67","1161833237.49","Bug'doy"
"NMNX-3888","0-20 sm","Gill","39.953640461524","21.04776498745","6.4926308285358","0.53785474795673","31.74","20.387862719937","208.83257634356","1.46","325.46","21.05","1.03","5.67","3.88","38.07","","1693882082.94","Bug'doy"
"NTXM-162","0-20 sm","Gill","20.325654094429","29.57908539686","7.1538099230078","0.38422143100038","18.9","23.577284267868","276.4315307238","1.61","324.13","25.43","0.77","9.91","2.27","12.79","0.89","1727291115.69","Bug'doy"
"NTXM-162","0-20 sm","Gill","34.588642634954","27.172001034374","6.8304592738854","0.29335794161378","60.31","18.04781698611","245.3277758233","1","","","1.52","8.04","3.01","10.73","0.53","213764706.71","Bug'doy"
"NMNX-4371","0-20 sm","Gill","30.535693230182","26.449499666798","6.5575274125952","0.38634610383173","17.16","22.275086235858","272.34870995688","0.61","306.27","","0","8.46","1.26","11.61","1.13","750845132.17","Bug'doy"
"NMNX-4492","0-20 sm","Gill","21.949681774065","21.031905629298","6.5229605763208","0.26948429900517","50.74","29.897611675618","153.84230718212","0.75","352.99","25.6","","7.92","2.23","12.59","1.13","64649003.68","Bug'doy"
"NTXM-163","0-20 sm","Gill","24.307108492519","27.276011227064","6.1769448054523","0.30462219837673","30.2","20.808425005367","287.33426064086","1.66","315.66","23.84","1.05","7.97","1.64","10.52","0.49","","Bug'doy"
"NMNT-156","0-20 sm","Gill","28.141499449707","28.628186477911","7.2272878685639","0.46118387827011","26.38","16.784522888455","269.32687670295","1.47","376.77","27.78","1.17","10.31","1.66","9.56","0.8","1690307464.91","Bug'doy"
"NMNX-4372","0-20 sm","Gill","20.763803295722","22.508856505901","6.6538169576663","0.25435185942295","45.36","29.123723014092","272.61609838337","2.24","337.29","26.24","1.52","9.33","2.33","8.59","1.31","961787053.82","Bug'doy"
"NTXM-164","0-20 sm","Gill","30.496531212789","15.644491377142","6.0134476356965","0.39774509066674","23.68","17.800206946237","209.31097712027","1.39","314.2","27.39","1.41","6.23","3.07","7.62","0.68","376097661.06","Bug'doy"
"NMNT-157","0-20 sm","Gill","31.864412020188","22.550629129931","6.2673830794467","0.55465379807684","29.44","27.213841265749","297.30162506404","1.04","356.36","29.05","1.22","","1.01","6.65","1.17","","Bug'doy"
"NTTM-126","0-20 sm","Gill","39.843331665358","19.852175396298","6.6101839927225","0.55901871255772","42.9","29.830543011058","192.35495980319","0.9","343.81","27.06","1.35","6.86","4.59","5.69","0.88","2144070218.62","Bug'doy"
"NTXM-165","0-20 sm","Gill","29.838692455654","23.858665409242","6.6595312544138","0.25763797715417","46","26.987367688371","199.067754984","0.97","341.24","26.73","1.4","7.12","1.35","4.72","0.76","457128619.88","Bug'doy"
"NMNX-157","0-20 sm","Gill","32.767981785415","29.008727054314","6.96077930492","0.30798145206138","46.15","28.223130331098","289.49460867886","0.84","357.26","23.88","1.79","6.65","1.7","3.75","0.37","2163411649.07","Bug'doy"
"NMNT-158","0-20 sm","Gill","29.835521987004","18.491650833072","7.0976959246249","0.2018464259067","51.37","28.484925682083","234.73478827926","1.36","364.97","26.15","1.95","7.55","1.55","2.78","","1943158958.2","Bug'doy"
"NTTM-127","0-20 sm","Gill","25.711212719277","27.142897989994","7.0819383500699","0.3727317785839","51.91","19.273023096181","189.41299783134","0.97","359.22","27.65","1.21","7.62","1.73","1.81","1.18","694834746.95","Bug'doy"
"NMNX-4374","0-20 sm","Gill","37.344510745038","29.794726023514","6.327661131456","0.54862649916778","24.86","17.288126545978","283.47975638149","0.53","313.33","25.56","0.57","","2.37","0.85","0.86","1634634005.66","Bug'doy"
"NMNX-158","0-20 sm","Gill","30.12041206923","26.122820950384","6.7609296543731","0.27025857541767","45.08","24.139716206745","212.60048225532","1.55","314.89","28.85","1.74","9.24","3.06","-0.12","1.18","1287091848.36","Bug'doy"
"NMNT-159","0-20 sm","Gill","23.354695267757","23.78376120345","7.4861474010354","0.47059119929183","13.6","28.383293453193","298.8663416981","1.27","283.11","26.15","1.35","8.97","4.68","-1.09","0.82","","Bug'doy"
"NTTM-128","0-20 sm","Gill","34.08533980403","29.977398314623","7.385693887848","0.51440822938283","51.41","23.026353981254","262.94452790791","1.66","375.21","27.42","1.51","7.48","4.05","-2.06","1.36","402327918.05","Bug'doy"
"NMNX-4375","0-20 sm","Gill","24.007812652173","16.863871019206","7.1966292655134","0.55601198926545","47.08","24.808448193845","241.33006584023","1.56","369.72","28.45","1.81","","2.48","-3.02","0.65","1706078762.25","Bug'doy"
"TSPD-2016","0-20 sm","Gill","34.252019261131","28.800935190328","6.623128632345","0.41082397726958","48.04","16.122367017635","282.24422560065","2.97","341.57","29.87","","8","1.89","-3.99","0.69","2517810052.66","Bug'doy"
"Karta-127","0-20 sm","Gill","21.827419958641","29.110041432858","6.9373829997407","0.22930882617608","37.81","29.580152174228","263.41698996403","0.11","","28.68","1.11","8.76","1.5","-4.96","0.66","385289947.18","Bug'doy"
"NTTM-129","0-20 sm","Gill","37.133448422222","21.913819070453","6.9085084269756","0.38705005667061","35.01","18.006425479905","153.61233115674","1.02","355.01","19.24","0.64","8.76","1.83","-5.93","0.57","2129334750.27","Bug'doy"
"NMNX-4617","0-20 sm","Gill","38.896155071079","22.178073974609","6.9571790458552","0.43866452886234","30.32","15.231630117439","231.18484846111","1.71","314.75","29.81","1.98","7.1","4.15","-6.89","1.31","142152476.03","Bug'doy"
"NTXM-168","0-20 sm","Gill","31.541589857304","18.174902114821","7.0317063368244","0.34859686723181","64.06","24.692254230079","226.5543963985","1.03","372.96","29.59","2.16","10.03","4.51","-7.86","","647241945.46","Bug'doy"
"TSPD-2017","0-20 sm","Gill","20.634869710838","28.573798476895","6.7565269876406","0.40447588876647","25.73","26.257671161734","180.40992269682","1.8","333.79","23.48","0.83","8.81","4.03","-8.83","0.89","","Bug'doy"
"NTTM-130","0-20 sm","Gill","37.008079334673","17.454431868675","7.135781124122","0.37587912700164","31.59","22.160377793416","239.58829725311","1.77","374.01","29.27","1.01","9.32","4.19","-9.80","0.91","","Bug'doy"
"NMNX-4859","0-20 sm","Gill","22.129184897056","18.761419877106","6.8009907302655","0.53276266374869","29.48","27.67931134325","225.51289902995","2.27","378.64","20.74","0.98","6.11","2.66","-10.76","1.11","206676043.34","Bug'doy"
"NMNX-4980","0-20 sm","Gill","22.044983051946","23.609101419611","6.3584778938257","0.27177139671788","53.43","24.81536409394","152.70157046201","0.3","327.93","26.02","1.55","9.62","1.56","-11.73","0.6","827857527.53","Bug'doy"
"TSPD-2018","0-20 sm","Gill","35.327175186372","17.175543931798","6.53092755752","0.40507472246508","35.5","16.306704832638","274.89075972248","0.48","363.13","26.15","1","8.85","4.21","-12.70","0.76","2300227561.45","Bug'doy"
"Karta-129","0-20 sm","Gill","24.977959783224","23.716856983084","6.312032530509","0.45024548131597","22.8","18.588190232039","152.63356285338","0.99","285.38","19.5","1.41","9.42","2.4","-13.67","0.5","595022608.62","Bug'doy"
"NTTM-131","0-20 sm","Gill","28.918553289532","16.576836250025","6.479720274445","0.20720248603223","40.51","18.878095007382","238.63358702476","1.91","328.49","21.33","2.06","8.5","2.1","-14.63","","1066267052.51","Bug'doy"
"NMNX-5222","0-20 sm","Gill","33.438404607555","19.047086568734","6.3951358257829","0.47103423842202","49.71","22.525382051473","291.5745922403","0.6","357.64","25.18","1.17","8.41","3.45","-15.60","1.02","2534119146.12","Bug'doy"
"NTXM-170","0-20 sm","Gill","36.775288438581","16.206539709722","7.2824632801466","0.27226837495863","29.74","21.41138806672","204.46561681539","1.31","315.2","28.72","0.8","5.97","4.52","-16.57","1.11","688675284.67","Bug'doy"
"Karta-130","0-20 sm","Gill","30.739075311681","22.50492021946","7.122527784691","0.40132333912959","53.39","19.195993845065","234.22510866127","0.79","352.94","27.45","2.63","8.82","1.75","-17.54","1.07","155413320.28","Bug'doy"
"NTTM-132","0-20 sm","Gill","21.383297769697","22.512369423413","7.1665622870592","0.49384962236859","41.23","28.452369067293","249.61653886136","0.69","356.52","29.04","2.42","8.46","3.27","-18.50","0.49","433964751.7","Bug'doy"
"NMNX-5343","0-20 sm","Gill","30.725991702433","18.229528259421","6.4606289404122","0.2635026278761","63.96","23.121181126686","253.07972145439","0.99","355","24.67","1.86","","3.23","-19.47","1.13","2363724330.58","Bug'doy"
"Karta-131","0-20 sm","Gill","32.657314376542","23.12372621365","6.3079794310957","0.39121528434012","15.37","24.551285726017","190.68442083353","1.38","298.21","20.03","0.34","7.2","1.99","-20.44","0.99","1188820462.22","Bug'doy"
"NMNX-152","0-20 sm","Gill","28.888183871944","27.474766507821","7.1812141594671","0.59842787582607","59.94","27.918441084174","279.2708188791","","392.8","26.16","1.38","7.72","4.16","-21.41","1.09","","Bug'doy"
"NTXM-162","0-20 sm","Gill","28.471900101929","15.099628742156","7.3734209785698","0.41115309908357","20.95","25.322168543319","277.26920476237","1.04","317.42","25.55","1.85","","2.14","-22.37","1.19","153661650.11","Bug'doy"
"NMNX-4611","0-20 sm","Gill","27.065290742375","16.901045758921","7.3552999864968","0.5385846011004","57.61","21.324077852505","235.32544094603","1.12","375.85","25.61","2.27","9.79","2.56","-23.34","0.82","356769807.06","Bug'doy"
"NTXM-163","0-20 sm","Gill","21.536155350519","16.416880418706","6.5014919730906","0.54372780757954","57.47","19.5910668895","248.47757761905","1.13","327.65","27.45","2.39","7.33","3.45","-24.31","","2361035322.75","Bug'doy"
"NTTM-124","0-20 sm","Gill","38.090046138899","20.205176149367","6.6951972004567","0.57014561659935","62.05","23.745537544785","241.34387052939","1.11","368.87","26.31","1.54","","4.53","-25.28","0.9","1799524767.76","Bug'doy"
"NMNX-4612","0-20 sm","Gill","21.75831778318","21.549819707692","7.0959149781899","0.41159133277227","26.14","22.375301997681","159.48748612618","2.08","330.19","27.56","0.52","9.92","4.07","1.03","0.55","1308869635.61","Bug'doy"
"NMNX-155","0-20 sm","Gill","32.496592426576","26.622868265788","6.0034372801031","0.41056112722095","21.34","28.323574417048","188.97990959954","1.66","325.76","25.1","1.37","8.18","2.61","0.87","0.53","745843543.93","Bug'doy"
"NTXM-164","0-20 sm","Gill","28.271716910817","18.078174156407","6.658814680053","0.2498805584647","14.94","18.074550076756","268.28187825465","0.71","318.63","27.54","0.64","7.77","1.99","1.56","1.26","52770559.21","Bug'doy"
"NMNX-4734","0-20 sm","Gill","32.389510979937","20.957631362985","7.263385857057","0.41354219736489","40.5","19.25591031729","165.54036441765","1.74","342.21","27.26","0.94","7.51","4.95","1.81","","","Bug'doy"
"NTXM-164","0-20 sm","Gill","23.896441843709","29.467536488187","6.4804801622136","0.56816227132064","50.92","19.829443532459","184.66397771458","1.41","388.57","27.15","1.21","9.27","1.54","2.06","0.88","1276099853.3","Bug'doy"
"NMNX-156","0-20 sm","Gill","30.637824803933","19.310169051765","6.044768298097","0.48356019955751","17.6","20.477695297094","197.48478091411","2.01","262.22","23.68","0.23","8.56","1.97","2.43","0.67","1112694324.29","Bug'doy"
"NMNT-157","0-20 sm","Gill","36.985415104604","26.015828418234","6.5526615685041","0.49582086023768","25.11","20.795411146917","175.54071782654","1.93","340.03","27.06","0.92","7.99","3.55","2.07","","687066483.67","Bug'doy"
"NTTM-126","0-20 sm","Gill","39.279859349387","18.187569586556","6.5195201607374","0.28131444617657","71.35","25.220964575533","207.31332360696","2.14","396.24","27.72","1.69","9.68","0.91","2.32","1.23","769970339.83","Bug'doy"
"NTXM-165","0-20 sm","Gill","25.962628787728","26.044833206554","6.9413308203353","0.48584831192025","54.71","18.575614749654","172.61494952073","","365.48","24.88","2.74","8","4.28","1.67","1.13","","Bug'doy"
"NMNX-157","0-20 sm","Gill","36.8992280225","29.543398699547","6.5295589244251","0.34110450688356","61.76","17.776392934768","235.32524930503","2.48","422.43","29.3","1.92","7.56","3.34","2.22","1.01","1262801252.82","Bug'doy"
"NMNT-158","0-20 sm","Gill","34.974624312138","23.758934451211","6.5814114674156","0.46217545311264","32.78","28.44871289217","228.6601597822","0.59","334.74","26.14","1.83","6.16","4.07","3.79","0.92","261082109.08","Bug'doy"
"NTTM-127","0-20 sm","Gill","21.776354416404","27.136567143331","7.2706040928054","0.35354229683292","35.2","29.300740293309","196.42756615211","1.52","355.29","23.97","1.49","7.81","1.51","2.56","0.7","243958068.39","Bug'doy"
"NMNX-4615","0-20 sm","Gill","23.19998814091","24.846238801814","6.1497824900339","0.29590320933802","41.73","22.753535795784","150.94336472494","1.14","374.18","26.55","1.32","9.19","1.75","1.92","1.13","273778612.46","Bug'doy"
"NMNX-4736","0-20 sm","Gill","39.532814721238","26.090782510289","7.1747540108583","0.3320486941602","35.11","29.896597966106","239.12384570085","1.63","375.34","25.57","1.98","10.96","3.89","1.57","1.25","991968304.67","Bug'doy"
