Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),Azot (mg/kg),Fosfor (mg/kg),Kaliy (mg/kg),Mg (mg/kg),Mikroorganizmlar (CFU/g),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
NMNX-12600,0-30,Loy,7.65,,1.67,1.26,36.88,88.63,45.17,466.62,436.69,837382769.46,35.59,9.61,1.33654973350237,,0.46,0.94,Makkajo'xori
NMNX-12721,0-30,Loy,8.93,0.85,1.82,1.47,32.09,23.34,15.33,332.62,292.52,479937926.41,38.69,6.47,5.64408031478751,5.28,0.67,0.92,Bug'doy
NTXM-198,0-30,Loy,6.84,1.5,1.71,1.58,26.62,48.92,27.12,367,345.75,729321200.14,40.97,12.62,1,5.09,0.83,1.27,Bug'doy
NMNX-190,0-30,Loy,6.81,2.57,0.74,1.53,24.5,47.28,24.23,370.58,317.41,204829185.76,41.24,9.65,3.73301144736638,5.16,0.72,1.36,Bug'doy
NTXM-199,0-30,Loy,7.76,2.04,1.04,1.39,23.32,41.82,22.62,359.29,330.75,567784026.7,34.02,10.56,2.6850753523137,5.94,1.21,1.41,Bug'doy
NMNT-191,0-30,Yengil qum,7.97,1.25,1.04,1.41,23.22,68.5,35.65,439.96,410.78,,41.76,7.2,4.53640621212677,5.72,0.78,1.14,Makkajo'xori
NTTM-160,0-30,Loy,7.51,1.03,0.4,1.58,19.1,45.61,25.78,347.28,325.06,172358096.37,33.26,7.8,6,5.35,1.24,1.1,Bug'doy
NMNX-12601,0-30,Loy,7.24,2.52,0.46,1.52,37.17,28.58,17.06,328.73,310.61,691703059.6,34.98,10.45,2.34546948109446,4.02,0.55,1.12,Bug'doy
NMNX-12722,0-30,Loy,6.16,2.37,0.52,1.41,15.88,80.5,40.97,454.23,408.89,97192489.92,40.39,9.85,3.55440796859687,,0.87,1.03,Makkajo'xori
NTXM-199,0-30,Yengil qum,6.06,0.79,1.72,1.57,29.56,87.12,43.68,478.18,414.83,299662852.17,37.46,9.94,3.06926333808312,4.07,1.02,1.1,Makkajo'xori
NMNX-191,0-30,Loy,8.51,0.86,1.59,1.59,21.83,13.06,9.37,353.58,312.14,629891281.3,33.68,12.32,6,2.1,1.16,1.99,Bug'doy
NTXM-200,0-30,Qumoq,6.38,1.72,1.74,1.25,31.94,91.11,46.32,495.26,441.92,883030104.99,31.74,11.52,1.38745228482165,2.17,0.99,1.96,Makkajo'xori
NMNT-192,0-30,Qumoq,6.24,0.74,1.06,1.24,28.55,85.02,45.39,490.41,439.04,87627251.07,44.41,8.03,2.39118330124896,2.21,1.09,1.91,Makkajo'xori
NTTM-161,0-30,Loy,7.48,2.18,1.13,1.55,37.64,31.42,21.78,310.17,287.59,15979826.78,41.49,11.7,2.98967999479855,3.9,0.58,1.04,Bug'doy
NMNX-12602,0-30,Yengil qum,6.98,0.91,1.43,1.36,15.77,70.52,36.51,411.71,379.92,840378654.32,35.44,9.59,5.60156293383432,4.07,1.14,1,Makkajo'xori
NMNX-12723,0-30,Loy,6.83,2.15,0.49,,23.03,78.2,40.51,464.6,444.31,223630670.99,34.67,11.58,5.05884449535354,3.78,0.49,,Makkajo'xori
NTXM-200,0-30,Loy,6.18,0.83,0.65,1.43,19.04,68.82,35.91,413.58,394.38,418663471.77,34.51,7.21,4.97439927123805,5.51,0.79,1.85,Makkajo'xori
NMNX-192,0-30,Loy,8.1,0.66,0.83,1.57,31.35,41.59,21.19,377.19,342.47,126272093.89,40.6,8.17,2.86757175882096,5.35,0.52,1.76,Bug'doy
NTXM-201,0-30,Loy,6.59,2.18,0.95,1.49,37.35,56.94,29.36,375.39,343.63,98816846.94,33.64,10.9,7,5.39,1.14,1.84,Bug'doy
NMNT-193,0-30,Loy,7.4,1.15,1.16,1.48,35.69,37.29,20.97,334.73,298.71,258080485.02,31.02,7.53,4.62856321034059,3.33,1.14,1.73,Bug'doy
NTTM-162,0-30,Yengil qum,8.41,2.38,1.46,1.26,19.74,58.93,32.14,444.97,419.66,739279163.04,41.53,8.8,1.2,3.17,0.82,,Makkajo'xori
NMNX-12603,0-30,Qumoq,7.99,1.74,0.37,1.53,22.78,58.89,30.13,416.73,386.64,658961176.09,40.43,11.75,5.18720767114123,3.46,0.93,1.76,Makkajo'xori
NMNX-12724,0-30,Loy,6.71,1.25,0.4,1.45,17.89,58.08,29.34,400.22,382.47,,32.43,6.83,4.80955799960329,5.33,0.81,1.85,Bug'doy
NTXM-201,0-30,Qumoq,6.1,1.38,0.42,1.25,34.54,84.72,43.79,468.52,452.52,680151924.73,31.99,6.96,3.43892740093184,5.24,0.84,1.83,Makkajo'xori
TSPD-2050,0-30,Qumoq,6.13,1.16,0.66,1.27,30.43,79.03,40.42,477.14,470.51,330171352.39,33.26,7.64,5.08816787211227,5.13,1.24,1.99,Makkajo'xori
Karta-161,0-30,Loy,7.78,1.56,0.79,1.43,19.36,32.3,20.8,368.89,356.78,614346562.12,41.93,10.86,6.4282067192594,8.72,0.97,1.67,Bug'doy
NTTM-163,0-30,Loy,6.85,0.8,0.97,1.55,34.62,38.25,20.08,372.77,341.56,491315551.51,42.85,10.52,2.98832782605818,9.66,0.51,1.66,Bug'doy
NMNX-12845,0-30,Loy,8.72,2.1,0.37,1.62,19.05,19.15,11.24,331,316.02,876017987.6,41.65,12.68,4.11609446514084,9.41,1.33,1.76,Bug'doy
NMNX-12966,0-30,Loy,7.76,1.08,0.35,,17.98,68.2,35.03,470.74,421.88,306941971.76,32.06,8.67,4.57645536386799,1.12,1.04,1.84,Makkajo'xori
NTXM-202,0-30,Qumoq,7.33,1.17,0.43,1.3,20.19,65.78,34.36,422.86,393.79,383067064.29,33.62,9.41,1.2,1.09,0.96,1.75,Makkajo'xori
TSPD-2051,0-30,Loy,7.29,1.13,0.93,1.44,30.31,27.78,18.37,358.56,334.82,353643585.82,32.26,10.79,1.73236542009924,,1.04,1.77,Bug'doy
Karta-162,0-30,Loy,8.96,2.08,0.82,1.63,21.82,22.54,15.11,336.43,320.82,762502119.86,40.57,8.25,2.03488481743251,2.55,1.14,1.28,Bug'doy
NTTM-164,0-30,Loy,8.65,2.02,1.08,1.52,34.66,26.82,16,351.66,358.41,172213498.04,40.99,9.52,3.30880769118741,2.41,0.73,1.27,Bug'doy
NMNX-13087,0-30,Loy,8.55,0.95,1.05,1.57,20.1,19.45,12.86,327.16,309.92,637984468.28,37.4,8.17,5.3287471821079,2.48,0.82,1.24,Bug'doy
NMNX-13208,0-30,Qumoq,7.09,1.24,1.13,1.43,18.04,59.46,32.03,407.24,383.42,496560946.76,42.61,13.78,4.29214968938249,6.06,0.84,1.09,Makkajo'xori
NTXM-203,0-30,Loy,7.41,1.09,1.45,1.6,26.66,28.84,17.56,337.7,320.75,593085515.28,37.22,9.87,3.96527216439483,,1.24,1.24,Bug'doy
TSPD-2052,0-30,Qumoq,7.37,,1.11,1.34,32.96,64.98,35.35,459.89,419.84,389147899.56,34.7,9.62,3.61495992125749,5.85,1.39,1.22,Makkajo'xori
Karta-163,0-30,Loy,8.51,1.09,1.28,,20.97,69.99,36.5,465.64,402.27,,30.36,12.1,2.54210521905294,4.69,0.87,,Makkajo'xori
NTTM-165,0-30,Loy,7.8,1.47,1.25,1.5,17.81,22.88,16.64,361.38,328.51,,32.67,8.07,2.80591419354646,4.55,0.93,1.89,Bug'doy
NMNX-13329,0-30,Yengil qum,7.33,2.17,3.09,1.27,20.35,67.88,35,482.81,411.33,,30.14,6.64,4.24955822560389,4.95,0.71,1.83,Makkajo'xori
NMNX-13450,0-30,Loy,7.28,0.84,3.3,1.49,35.12,61.08,32.63,394.63,364.47,,30.57,12.21,1.12413356597316,,1.2,1.45,Bug'doy
NTXM-204,0-30,Loy,6.7,,4.15,1.63,39.43,33.4,17.94,340.84,338.25,,32.47,11.95,3.2718959327003,3.89,0.83,1.63,Bug'doy
TSPD-2053,0-30,Yengil qum,6.42,0.18,0.94,1.33,24.52,64.03,34.62,405.85,370.45,,32.07,12.93,5.05947133677326,,1,1.67,Makkajo'xori
Karta-164,0-30,Qumoq,8.26,1.08,2.74,1.57,29.77,45.33,25.35,401.27,394.92,,32.79,7.75,4.31575812876946,6.9,1.37,1.11,Paxta
NTTM-166,0-30,Loy,8.8,1.58,4.99,1.63,35.07,20.38,14.01,298.91,298.67,,41.02,13.43,4.86960778083932,6.5,0.81,1.2,Bug'doy
NMNX-13571,0-30,Loy,6.96,1.7,2.88,1.46,28.65,68.2,35.9,428.08,393.66,,40.62,9.61,3.65773929891259,6.37,0.83,1.04,Makkajo'xori
NMNX-13692,0-30,Yengil qum,6.55,1.16,1.58,,18.38,86.73,46.14,526.44,453.6,,33.24,7.22,2.53965741121378,4.95,1.05,1.53,Makkajo'xori
NTXM-205,0-30,Yengil qum,7.28,1.02,1.45,1.38,35.92,88.26,45.22,463.8,447.14,,35.45,7.92,1.68448078539885,4.61,1.12,1.55,Makkajo'xori
TSPD-2054,0-30,Loy,8.37,0.89,2.14,1.45,26.66,34.05,22.07,357.3,340.52,,41.06,7.11,3.63388465307053,4.47,0.91,1.71,Bug'doy
Karta-165,0-30,Loy,7.31,1.11,3.27,1.61,32.69,38.34,21.02,341.43,346.54,,38.76,11.66,2.15162126406158,,0.37,1.74,Bug'doy
NTTM-167,0-30,Loy,7.65,3.52,1.99,1.35,24.32,55.99,31.64,374.03,340.47,,40.13,7.01,5.78677151818306,5.43,,1.84,Bug'doy
NMNX-1281,0-30,Yengil qum,6.91,0.76,1.13,1.44,32.66,72.08,38.78,462.2,429.12,,39.65,11.17,5.18033207451328,5.33,1.16,1.78,Makkajo'xori
NMNX-186,0-30,Loy,8.38,1.99,2.52,1.56,29.95,30.09,18.19,359.29,337.75,,32.58,7.17,2.88663894927937,5.3,1.11,1.51,Bug'doy
NTXM-195,0-30,Loy,7.58,1.24,4.28,1.28,28.84,74.19,36.98,445.18,419.13,,37.76,10.44,4.90145368069067,5.57,0.99,1.43,Makkajo'xori
NMNX-187,0-30,Loy,6.08,1.04,1.36,,30.17,96.42,49.34,495.57,462.57,,31.6,7.42,2.60599102840125,5.41,1.31,1.36,Makkajo'xori
NTXM-196,0-30,Yengil qum,6.71,1.22,0.68,,36.89,80.82,43.5,507.62,441.45,805135893.7,36.29,13.13,4.55329720664007,3,1.18,2.54,Makkajo'xori
NMNT-188,0-30,Loy,7.63,1.32,1.24,1.59,32.58,42.21,26.05,349.94,336.89,607481641.64,38.5,8.04,3.7624910521623,2.68,0.8,2.49,Bug'doy
NTTM-157,0-30,Qumoq,6.35,1.39,2.31,1.39,15.21,92.19,45.98,489.16,440.03,147265576.15,39.35,10.99,4.5528829121342,2.86,1.21,2.52,Makkajo'xori
NMNX-12839,0-30,Loy,8,1.83,2.37,1.41,22.73,65.52,33.26,458.95,413.49,566140431.75,31.69,10.39,3.17975662766038,3.06,0.65,,Bug'doy
NMNX-12960,0-30,Loy,8.51,0.53,2.49,1.58,31.67,29.72,17.21,359.03,319.91,549092542.54,38.69,10.47,4.43979616366531,3.22,0.85,1.68,Bug'doy
NTXM-196,0-30,Loy,7.48,1.16,0.73,1.46,35.9,32.21,20.5,401.69,367.69,769414078.32,31.05,9,6,3,0.98,1.65,Bug'doy
NMNX-188,0-30,Loy,8.1,1.81,3.76,1.48,36.93,28.75,19.48,336.58,351.79,565648520.61,30.74,8.53,6.06827582344095,5.09,0.39,1.97,Bug'doy
NTXM-197,0-30,Loy,6.83,0.8,3.16,1.52,29.8,55.31,29.95,394.1,378.12,715775660.54,37.33,11.19,6.23673872322571,4.67,0.8,2.05,Bug'doy
NMNT-189,0-30,Loy,7.51,1.23,1.35,,16.42,88.45,46,493.91,452.4,477517107.82,31.82,8.41,1.58348269361234,4.54,1.3,1.99,Makkajo'xori
NTTM-158,0-30,Loy,7.31,0.83,4.78,1.55,31.98,31.77,18.71,381.38,364.78,587873007.55,32.51,8.82,5.70379487917515,3.08,1.36,1.24,Bug'doy
NMNX-12840,0-30,Loy,6.79,1.92,1.27,1.39,39.33,57.57,31.33,380.54,355.16,247879440.58,40.23,,6,3.05,0.38,,Bug'doy
NMNX-12961,0-30,Loy,7.19,0.18,2.74,1.53,38.81,50.64,28.26,416.86,387.8,,37.2,10.77,5.14339521273988,3.17,0.78,1.29,Bug'doy
NTXM-197,0-30,Loy,7.59,1.63,3.66,1.61,31.09,22.77,16.45,342.67,321.37,200386162,37.1,11.23,2.5209833810694,6.02,1.03,0.93,Bug'doy
NMNX-189,0-30,Loy,8.76,1.28,4.58,1.55,27.58,34.38,17.68,397.72,405.96,595476133.43,31.38,10.68,3.96160624341666,6.15,0.91,1.04,Bug'doy
NTXM-198,0-30,Loy,8.69,1.29,3.93,1.41,33.35,43.74,26,371.54,315.67,37233271.93,38.11,8.57,4.45282421167597,6.08,1.07,1.02,Bug'doy
NMNT-190,0-30,Loy,7.26,1.89,4.43,1.49,27.7,59.46,31.32,409.34,335.59,611415492.97,35.75,7.13,3.40727868960197,3.1,0.53,1.57,Bug'doy
NTTM-159,0-30,Loy,7.35,1.25,4.55,1.53,21.18,34.83,23.35,339.88,321.79,488726457.87,34.82,9.9,4.15273948361247,3.11,1.21,1.56,Bug'doy
NMNX-12841,0-30,Qumoq,7.76,1.36,1.06,1.44,29.89,56.44,30.85,418.47,395.45,,37.58,8.34,1.93221935304963,3.3,0.25,1.58,Makkajo'xori
NMNX-12962,0-30,Loy,8,1.15,2.94,1.53,29.16,35.13,21.21,352.87,312.12,873520245.28,43.7,8.6,4.47220339948947,3.95,1.09,0.93,Bug'doy
NTXM-198,0-30,Loy,6.73,1.31,0.97,1.37,25.53,81.19,41.33,479.38,425.8,,34.79,11,1.2,3.97,0.89,,Makkajo'xori
NMNX-190,0-30,Loy,7.97,2.05,3.67,1.45,32.35,72.9,35.18,430.43,408.78,353423661.43,45.76,5.95,2.68827644504858,3.98,0.22,0.95,Makkajo'xori
NTXM-199,0-30,Loy,8.88,1.24,1.26,1.43,22.99,38.71,22.79,384.09,364.71,459389110.78,41.15,11.84,4.33610548457326,,0.73,1.77,Bug'doy
NMNT-191,0-30,Loy,7.77,0.96,2.96,1.46,30.84,38.39,23,374.83,357.73,217430889.06,41.78,7.06,1.2,4.12,0.65,,Bug'doy
NTTM-160,0-30,Yengil qum,6.04,1.28,0.78,1.28,38.73,93.48,49.36,492.13,421.9,857836692.04,37.98,8.51,1,3.86,0.39,,Makkajo'xori
NMNX-12842,0-30,Loy,8.67,2.36,2.68,1.38,31.92,52.57,29.93,419.08,421.38,859476088.64,33.28,11.24,4.01905495282606,3.96,1.29,0.82,Paxta
NMNX-12963,0-30,Yengil qum,7.93,1.03,4.33,1.36,36.62,68.22,36.24,434.08,390.26,648759284.38,36.27,12.41,4.39810583595621,3.89,1.18,0.81,Makkajo'xori
NTXM-199,0-30,Loy,8.87,1.58,3.75,1.64,37.14,14.74,11.24,331.12,311,,31.31,6.77,2.96560701224054,3.89,0.61,0.87,Bug'doy
NMNX-191,0-30,Qumoq,6.23,1.28,0.67,1.24,38.75,91.4,45.09,480.92,420.2,157563396.94,37.86,10.65,5.84460557613774,3.37,0.26,1.82,Makkajo'xori
NTXM-200,0-30,Loy,6.7,1.26,1.77,1.43,17.64,89.45,43.96,507.19,459.07,225860456.65,34.53,8.87,6,3.24,0.71,1.87,Makkajo'xori
NMNT-192,0-30,Qumoq,6.18,1.79,0.99,1.27,22.28,87.31,42.82,443.38,421.75,513443611.67,33.46,8.27,5.56340114397671,3.38,1,1.66,Makkajo'xori
NTTM-161,0-30,Qumoq,7.26,0.89,1.65,1.29,23.53,68.36,35.5,421.23,400.57,23795321.94,37.86,9.93,5.57114936061466,8.97,0.96,1.64,Makkajo'xori
NMNX-12843,0-30,Loy,7.7,0.86,2.08,1.48,16.75,52,28.74,398.92,363.89,423456157,33.1,8.07,3.21908673209185,8.88,0.98,1.75,Bug'doy
NMNX-12964,0-30,Loy,6.44,1.45,1.4,1.28,29.65,81.55,45.06,455.18,392.65,393916851.98,30.59,8.3,2.64671083867053,9.02,0.54,1.8,Makkajo'xori
NTXM-200,0-30,Yengil qum,8.59,1.74,2.62,1.32,25.33,66.99,36.05,458.51,426.11,822590337.69,30.07,6.36,5.56509251321996,3.42,1.1,,Makkajo'xori
NMNX-192,0-30,Qumoq,7,,3.8,1.4,39.23,66.06,32.4,443.17,411.91,371161906.4,41.4,11.37,5.06730796941393,3.34,1.05,0.76,Makkajo'xori
NTXM-201,0-30,Qumoq,8.17,0.3,3.66,1.29,16.69,49.11,27.61,451.5,427.11,527713647.97,41.81,7.99,2.65910531962473,3.25,0.9,0.75,Paxta
NMNT-193,0-30,Qumoq,6.04,1.91,3.12,1.3,29.36,85.94,42.72,483.9,433.6,145388326.37,39.44,12.27,3.90803807111106,6.56,0.76,1.39,Makkajo'xori
NTTM-162,0-30,Yengil qum,6.89,2.24,2.11,1.28,16.31,76.04,38.14,443.29,410.25,82058911.45,41.5,8.73,2.8661251833456,6.82,1.17,1.49,Makkajo'xori
NMNX-12844,0-30,Loy,6.01,1.98,2.79,1.42,34.38,72.26,35.52,400.42,342.36,122854200.74,39.86,12.77,4.96597729934709,6.49,1.1,1.47,Bug'doy
NMNX-12965,0-30,Loy,7.52,1.62,2.91,1.55,16.93,47.91,27.03,409.56,388.41,50742529.73,36.32,10.41,5.39758523032659,5.64,0.6,1.3,Paxta
NTXM-201,0-30,Loy,7.63,0.99,2.4,1.58,30.34,30.88,18,348.42,335.91,838793095.21,30.08,,3.27818292204824,5.77,1.18,1.39,Bug'doy
NMNX-193,0-30,Loy,6.8,1.77,1.92,1.46,34.3,55.65,29.94,416.13,382.94,170618831.69,40.57,10.61,1.39130114203685,5.63,0.91,1.34,Bug'doy
NTXM-202,0-30,Yengil qum,7.7,1.36,1.81,1.3,30.29,84.48,42.5,472.04,444.86,123890567.18,35.82,9.17,3.29524861899082,7.81,0.78,1.3,Makkajo'xori
NMNT-194,0-30,Loy,7.42,2,3.71,1.49,23.88,47.45,27.34,363.5,333.21,27975760.34,33.09,9.97,5.22145278140116,8.35,1,1.34,Bug'doy
NTTM-163,0-30,Yengil qum,7.44,0.1,1.56,1.3,34.06,70.99,38.12,418.01,383.44,517029953.78,38.57,9.58,5.98969827294345,,1.02,1.39,Makkajo'xori
NMNX-12845,0-30,Loy,8.14,1.75,3.97,1.53,37.74,22.27,13.6,359.65,336,742343170.26,35.62,6.54,1.92822962640007,4.05,0.97,1.16,Bug'doy
NMNX-12966,0-30,Yengil qum,6.46,1.44,1.66,,29.18,96.62,47.54,491.97,440.26,341863170.98,37.59,9.76,4.38508176053611,4.06,0.93,,Makkajo'xori
NTXM-202,0-30,Qumoq,6.09,1.31,1.7,1.26,26.81,79.25,41.39,437.09,424.81,412056456.39,43.27,6.87,5.91092276361462,4.01,0.42,1.17,Makkajo'xori
TSPD-2051,0-30,Loy,8.41,1.82,1.5,1.41,38.17,78.75,41.26,463.38,439.69,370583230.77,31.54,10.15,3.93414705630737,,1.02,0.67,Makkajo'xori
Karta-162,0-30,Loy,6.7,1.8,0.59,,28.87,96.3,47.61,497.62,439.6,350959713.92,41.35,9.91,3.40265043042194,6.85,0.58,0.7,Makkajo'xori
NTTM-164,0-30,Loy,7.74,1.75,1.07,1.62,31.77,38.29,21.45,383.42,354.49,95957695.83,35.66,9.36,4.94249604101962,6.49,1.03,0.68,Bug'doy
NMNX-13087,0-30,Loy,6.92,2.24,4.6,1.58,31.4,36.41,22,339.28,338.73,712796380.49,34.84,9.34,2.65189715238889,6.14,0.83,1.23,Bug'doy
NMNX-13208,0-30,Loy,7.98,1.07,2.14,1.43,33.47,43.83,25.01,397.27,381.15,571076598.36,34.08,5.7,1.5,5.99,0.52,1.24,Bug'doy
NTXM-203,0-30,Loy,6.5,1.09,2.09,1.39,34.47,47.46,24.44,386.55,374.24,859258162.53,41.6,11.23,3.67297101350316,6.79,,1.28,Bug'doy
TSPD-2052,0-30,Loy,8.69,1.18,3.92,1.54,37.49,18.94,10.6,301.23,313.69,877747805.33,38.91,8.16,5.13684743794317,2.45,1.16,2.09,Bug'doy
Karta-163,0-30,Loy,8.84,2.64,3.99,1.44,38.72,26.49,17.86,365.72,337.43,591318206.09,40.02,8.46,4.5758953918959,2.39,1.18,2.12,Bug'doy
NTTM-165,0-30,Yengil qum,8.76,1.89,4.42,1.37,36.85,56.49,28.44,451.6,415.12,809395570.51,36.92,7.69,3.70340132910643,2.27,0.96,2.16,Paxta
NMNX-13329,0-30,Loy,7.17,1.37,4.87,1.65,33.18,20.21,13.37,324.2,330.19,491564953.52,35.89,6.38,3.97176320642475,3.22,0.85,1.68,Bug'doy
NMNX-13450,0-30,Yengil qum,8.24,1.53,3.6,1.49,28.94,37.17,22.23,406.67,372.61,226157934.02,31.11,8.25,4.51620583938495,3.08,1.17,1.53,Paxta
NTXM-204,0-30,Loy,8.3,0.68,4.7,1.65,39.99,15.59,11.01,332.99,303.18,502369445.49,39.95,6.53,6,2.96,0.45,1.47,Bug'doy
TSPD-2053,0-30,Loy,7.17,2.43,4.61,1.63,18.77,26.42,16.52,319.01,286.53,814883012.83,37.2,9.43,2.78176846858121,5.76,0.64,1.62,Bug'doy
Karta-164,0-30,Loy,6.53,1.95,2.31,1.48,26.07,46.08,24.09,371.82,353.97,462301627.52,30.89,8.73,4.20074311155593,6.15,0.99,1.56,Bug'doy
NTTM-166,0-30,Yengil qum,6.09,1.39,0.57,,16.51,91.15,46.85,481.65,444.56,149623382.68,34.96,10.93,4.84523446572302,6.23,0.35,,Makkajo'xori
NMNX-13571,0-30,Loy,7.3,1.77,4.23,1.59,38.13,31.89,16.91,331.46,295.48,548880732.09,32.31,10.32,4.34176742659536,4.93,1.04,,Bug'doy
NMNX-13692,0-30,Qumoq,6.61,2.19,0.69,,34.97,91.39,46.79,486.47,,80548376.51,30.15,10.92,2.09297339987295,4.69,0.49,1.26,Makkajo'xori
NTXM-205,0-30,Qumoq,7.05,2.26,1.97,,37.38,87.72,42.74,460.8,417.41,905388918.28,34.99,11.54,2.35535092785734,4.42,0.82,1.2,Makkajo'xori
TSPD-2054,0-30,Loy,8.51,0.98,4.06,1.58,24.62,33.41,19.22,370.91,380.81,565001964.37,34.97,8.87,3.17177373939344,4.41,1.1,1.76,Bug'doy
Karta-165,0-30,Yengil qum,6.26,0.69,0.56,,18.42,95.28,46.22,500.18,429.14,615995405.96,42.9,6.03,3.30624426065559,4.16,0.9,1.62,Makkajo'xori
NTTM-167,0-30,Yengil qum,6.19,0.33,1.78,1.24,24.85,89.98,46.73,479.21,425.78,789391131.31,40.09,7,5.74637333942132,4.19,0.73,1.53,Makkajo'xori
NMNX-13813,0-30,Loy,7.68,0.7,3.13,1.28,26.33,68.85,35.14,483.64,428.57,327311298.74,39.3,7.57,3.13856449064191,1.21,1.18,2.05,Makkajo'xori
NMNX-13934,0-30,Loy,8.67,1.52,4.02,1.3,16.42,33.59,18.07,345.44,319.13,430085250.93,36.81,11.1,2.86516543409483,1.25,1.27,2,Bug'doy
NTXM-206,0-30,Qumoq,8.64,1.13,2.96,1.51,34.23,54.58,31.86,430.4,415.45,128057154.15,37.07,7.01,1.5,,1.17,2.06,Paxta
TSPD-2055,0-30,Loy,7.2,1.43,2.12,1.38,35.59,60.71,33.14,429.03,373.14,438451350.31,32.34,7.82,1.37114248526728,3.51,1.08,1.48,Makkajo'xori
Karta-166,0-30,Loy,6.35,0.6,1.23,1.53,27.82,76.91,39,430.28,404.93,161503431.99,33.98,8.22,6,3.19,0.64,1.62,Bug'doy
NTTM-168,0-30,Loy,8.96,,4.88,1.57,21.16,23.18,14.59,360.99,319.08,877794487.33,33.58,9.04,1.55417891673733,3.11,1.13,1.54,Bug'doy
NMNX-1282,0-30,Loy,8.16,2.54,4.47,1.53,28.52,43.1,23.96,360.92,356.63,677033929.29,37.18,8.69,2.83904085772935,1.69,1.25,0.96,Bug'doy
NMNX-187,0-30,Loy,7.15,0.35,1.39,1.64,20.24,21.85,13.59,334.63,314.84,315802844.12,38.69,12.05,3.84480127249236,1.71,0.37,1.02,Bug'doy
NTXM-196,0-30,Loy,7.81,1.57,1.95,1.5,18.21,36.94,20.01,384.95,362.72,70721905.98,31.65,9.78,1.83759916599206,1.72,1.29,1.01,Bug'doy
NMNX-188,0-30,Qumoq,6.95,1.52,0.84,,20.14,88.11,46.1,517.02,472.63,503268668.14,37.04,8.14,3.43380554170014,3.56,0.65,0.84,Makkajo'xori
NTXM-197,0-30,Loy,7.67,2.17,3.29,1.59,29.13,32.34,18.88,390.69,360.11,110010315.52,38.27,7.93,6,3.61,1.2,0.77,Bug'doy
NMNT-189,0-30,Qumoq,6.56,1.24,0.53,1.37,32.12,80.92,41.21,462.1,398.94,341935816.37,33.1,10.16,7,3.69,0.83,0.75,Makkajo'xori
NTTM-158,0-30,Loy,6.47,1.42,3.35,1.41,36.39,30.29,17.97,283.96,295.6,617082345.69,33.8,11.05,3.24825776999853,4.78,1,1.14,Bug'doy
NMNX-13081,0-30,Qumoq,6.88,1.23,1.01,1.41,25.74,74.81,38.39,444.7,413.55,556599865.28,40.99,10.04,4.43723885637744,5.05,0.98,1.12,Makkajo'xori
NMNX-13202,0-30,Qumoq,7.54,1.19,1.41,1.33,35.27,70.77,38.64,421.96,404.76,307571207.18,30.55,12.76,2.11337854433838,4.82,0.95,1.06,Makkajo'xori
NTXM-197,0-30,Loy,6.8,1.86,2.21,1.4,38.65,50.72,28.17,389.9,358.83,182461221.72,38.17,7.33,3.49281384947598,2.64,0.61,0.91,Bug'doy
NMNX-189,0-30,Loy,7.94,1.27,3.36,1.47,33.02,41.5,22.98,381.89,345.69,257538397.06,34.57,6.16,2.2556368072255,2.66,0.46,0.91,Bug'doy
NTXM-198,0-30,Loy,8.04,1.44,4.52,1.63,16.98,19.8,15.56,322.9,299.52,629240421.03,26.51,7.55,3.44140604236943,2.66,1.04,0.92,Bug'doy
NMNT-190,0-30,Loy,6.56,0.19,2.08,1.27,23.41,73.75,38.59,503.68,457.56,539350526.83,26.87,9.84,1.5,5.18,,0.62,Makkajo'xori
NTTM-159,0-30,Loy,6.97,1,2.59,1.33,38.07,58.58,30.71,406.28,383.01,21471300.25,29.92,8.16,1.2,5.22,0.7,0.67,Bug'doy
NMNX-13082,0-30,Loy,7.65,1.95,1.13,,33.17,89.73,46.08,476.83,422.68,468859330.71,27.51,11.22,4.80804387434537,5.18,0.67,0.65,Makkajo'xori
NMNX-13203,0-30,Loy,6.85,0.87,3.96,1.49,20,64.85,33.63,398.1,378.14,308746866.51,26.01,11.66,6,5.06,1.02,2.05,Bug'doy
NTXM-198,0-30,Loy,8.54,1.86,4.91,1.63,31.65,21.52,13.92,349.69,323.33,584157921.57,24.57,11.13,6,5.51,0.67,2.22,Bug'doy
NMNX-190,0-30,Yengil qum,6.36,1.97,0.94,1.25,36.03,87.88,44.74,467.36,446.77,696442716.47,29.15,9.46,4.23238736149431,5.96,0.96,2.11,Makkajo'xori
NTXM-199,0-30,Loy,8.73,1.89,2.43,1.37,23.02,48.48,26.55,416.09,381.96,872828121.32,25.78,8.59,4.99678857858878,3.3,0.45,1.7,Bug'doy
NMNT-191,0-30,Loy,6.29,1.22,2.96,1.58,20.95,31.19,19.1,324.62,299.57,482358989.8,26.64,9.78,3.5205033618733,3.29,1.11,1.61,Bug'doy
NTTM-160,0-30,Loy,7.4,2.16,1.9,1.35,39.01,51.85,26.57,368.83,363.15,899379904.56,29.25,12.74,4.78100581255214,3.18,1,1.71,Makkajo'xori
