"Sample","Layer (cm)","Mechanical composition","pH","Humus (%)","Soil EC (mS/cm)","Soil density (g/cm³)","CF (%)","N (mg/kg)","P (mg/kg)","K (mg/kg)","Mg (mg/kg)","Microorganisms  (CFU/g)","S (mg/kg)","Fe (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","Cu (mg/kg)","B (mg/kg)","Crop"
"NTTM-271","0-20","Clay","8.79","2.42","4.75","1.54","38.77","20.64","15.06","359.95","29.138320897494","318447214.13","25.84","10.54","2.2319183439194","7.2791888594283","2.0288209865026","1.24","Wheat"
"NMNX-40427","0-30","sandy","8.1","1.39","3.17","1.48","31.69","49.71","27.49","406.51","29.644169193643","693785391.93","27.13","6.55","4.4177235675608","9.5428978222263","1.6662508878166","4.76","Cotton"
"NMNX-40548","0-30","sandy","7.75","0.63","3.67","1.32","33.11","61.1","34.24","423.94","30.92946804999","633288290.56","28.78","10.24","3.1246078998393","16.531189832533","1.668612581529","3.19","Cotton"
"NTXM-310","0-20","sandy","7.86","1.75","2.49","1.41","24.67","54.77","28.55","394.63","35.154765459163","","21.34","7.89","1.9345443469551","7.5378455557496","1.897626646955","3.38","Wheat"
"NMNX-302","0-20","sandy","","0.96","2.04","1.34","31.71","59.86","29.58","440.48","40.830552951354","424163519.25","14.77","7.84","3.04808249529","15.130812981617","1.7773546919507","0.88","Wheat"
"NTXM-311","0-30","Loamy","8.59","1.8","2.98","1.38","27.14","43.94","22.77","405.14","36.457834620309","413873755.05","27","9.77","6","13.502065711627","1.9314684713113","1.74","Cotton"
"NMNT-303","0-20","Clay","8.41","1.82","3.3","1.55","16.94","29.56","14.04","373.28","24.29105312395","592593652.44","13.58","8.2","6.36533861095","14.084519357952","2.2480892421843","0.64","Wheat"
"NTTM-272","0-20","Clay","6.82","2.08","1.37","1.51","17.11","37.39","22.28","368.59","63.347090851557","87567120.55","26.04","9.12","2.9798793050524","16.432517780339","2.4027462007655","1.5","Wheat"
"NMNX-40428","0-20","sandy","7.32","1.89","2.31","1.49","29.19","22.83","16.1","316.13","27.417609369474","261746228.66","21.21","7.8","5.543758244901","7.9238769772701","2.9090307668912","3.73","Wheat"
"NMNX-40549","0-20","sandy","7.41","0.94","3.04","1.24","31.94","68.32","36.14","462.64","58.312378497248","45988993.19","14.76","11.1","6","13.421388846924","2.4039610503093","2.04","Corn"
"NTXM-311","0-20","Clay","6.39","","2.36","1.34","36.11","71.01","35.84","446.02","31.954558405075","1274610058.83","24.36","11.88","5.6403644945315","18.167505301115","2.7311143946861","1.33","Corn"
"NMNX-303","0-20","sandy","7.92","1.38","1.99","1.52","33.25","17.59","11.92","309.6","32.701384448751","230842677.01","27.74","6.98","1.81545312471","12.38283438459","1.5665242563198","4.03","Wheat"
"NTXM-312","0-20","Clay","8.48","1.8","4.16","1.55","33.49","29.54","18.38","359.83","46.062089554432","72751047.84","29.69","9.29","4.3438370704877","9.2401087087492","1.7061037523197","1.98","Wheat"
"NMNT-304","0-20","sandy","8.03","","3.44","1.49","37.71","28.7","18.25","358.54","27.928704618277","395683262.08","14.19","7.17","3.4996861548309","12.232666185735","2.3807660866922","0.57","Wheat"
"NTTM-273","0-20","sandy","7.84","0.92","2.21","1.24","39.36","92.27","46.95","521.87","30.20304313886","1044786614.07","27.51","8.18","3.2608775243172","9.803941858305","1.4973087263136","4.79","Corn"
"NMNX-40429","0-20","Loamy","8.61","1.67","2.75","1.45","16.57","65.06","33.28","457.13","27.809694912394","92862082.12","18.84","10.92","5.3410503892367","13.298996070971","1.6830325284443","4.07","Corn"
"NMNX-40550","0-20","sandy","6.96","0.13","4.37","1.42","33.65","68.53","32.76","436.96","38.652934976477","633751757.26","12.58","10.71","6","14.487922946356","2.1075583825634","2.36","Corn"
"NTXM-312","0-20","Gill","6.35","1.65","1.12","1.41","28.8","75.51","38.08","448.51","28.31222516512","538609902.07","28.71","9.95","5.6633202597048","18.683023605664","1.2","2.74","Wheat"
"NMNX-304","0-20","sandy","7.46","0.93","1.86","1.41","23.35","81.42","42.52","494.06","57.06656591858","474645655.2","23.45","7.94","3.1400261201273","9.0169789879146","3.4196574589178","0.95","Corn"
"NTXM-313","0-20","Loamy","8.32","1.16","1.83","1.33","29.42","66.51","36.04","481.34","","1208583114.32","25.22","9.9","3.4348572261895","10.65535189397","3.1776832285445","2.37","Corn"
"NMNT-305","0-20","sandy","8.5","1.16","4.07","1.43","38.18","28.98","20.55","366.62","43.861307860249","","17.86","7.79","5.3768642559565","","1.2438360374717","3.18","Wheat"
"NTTM-274","0-20","sandy","7.34","","3.06","1.63","31.91","37.19","20.37","371.57","43.583593124848","1415597875.65","17.86","6.99","4.2208672340886","9.5731541250799","2.3850883029692","3.4","Wheat"
"NMNX-40430","0-20","Gill","8.52","0.41","2.67","1.39","21.66","29.47","17.96","367.66","32.858096602541","","28.85","10","2.3416464970486","14.123696777289","2.7395122170855","3.28","Wheat"
"NMNX-40551","0-20","Clay","8.8","2.33","4.19","1.65","24.35","17.81","12.95","339.73","35.709524934951","1315423389.94","21.71","11.92","3.017726483714","9.0998022980082","3.0138835867206","4.79","Wheat"
"NTXM-313","0-20","sandy","8.9","0.15","3.57","1.29","34.21","38.17","21.21","378.41","36.212762299331","1043840614.62","28.35","9.65","1","16.252139220073","2.3511433129898","1.23","Wheat"
"NMNX-305","0-20","sandy","8.92","1.24","4.86","1.56","24.85","20.27","13.17","324.34","23.252796754676","213363395.95","15.96","12.9","5.9748225848538","15.257587819572","2.3951061949631","3.26","Wheat"
"NTXM-314","0-20","Gill","8.61","0.76","2.92","1.33","24.57","36.56","21.26","353.03","40.624586694426","661436886.35","18.9","6.1","1","13.582685194756","1.7860804406494","4.73","Wheat"
"NMNT-306","0-20","Gill","8.89","1.29","2.39","1.36","23.25","16.71","14.63","353.56","47.93682374385","451172166.83","17.61","9.93","2.8855106011814","13.520971292259","1.4468239999171","4.91","Wheat"
"NTTM-275","0-20","sandy","7.89","1.14","2.45","1.26","28.07","64.8","35.06","416.58","56.955706070861","697030095.13","13.17","11.37","5.2100290759262","6.3493861249649","2.1915468843909","2.13","Corn"
"NMNX-40431","0-20","Gill","7.67","1","1.95","1.47","36.02","46.3","23.49","397.84","27.723658648009","1448862410.21","16.01","10.23","4.165897279138","12.186819511546","3.5847811868636","1.76","Wheat"
"NMNX-40552","0-20","Gill","7.28","1.58","2.42","1.55","36.13","27.57","14.96","317.65","36.543098223037","1107017697.25","25.76","11.13","2.9099608643465","9.5673083095568","3.8262878920062","1.51","Wheat"
"NTXM-314","0-20","Clay","6.34","0.3","0.7","","17.1","94.48","47.63","505.79","40.347419584341","644911078.31","23.45","10.92","2.4716435525363","13.58439502735","2.4596706953007","4.28","Corn"
"NMNX-306","0-20","Loamy","6.47","1.14","2.69","1.4","15.73","57.21","31.55","454.62","60","1422048582.69","25.06","6.97","1.5267518505353","13.833044463685","2.2314979089413","4.52","Corn"
"NTXM-315","0-20","Clay","6.84","0.43","1.53","1.26","20.13","95.86","46.93","490.81","27.127330208814","451545480.87","26.19","7.58","2.5559118167697","12.594097971324","2.2428927565402","2.14","Corn"
"NMNT-307","0-20","sandy","6.44","0.89","0.84","1.45","23","76.55","40.94","478.96","38.697751749302","1739753670.62","25.81","9.72","1.5064700127359","7.7405224674464","1.2785112983871","3.4","Corn"
"NTTM-276","0-20","Gill","7.29","2.04","4.45","1.59","34.3","31.4","19.64","347.02","56.892002875982","291488049.52","25.18","8.02","3.566717464521","16.482183787079","2.5888949087381","1.61","Wheat"
"NMNX-40432","0-20","sandy","7.3","0.74","2.36","1.49","35.06","66.21","36.97","476.48","26.375812728179","178283814.56","19.3","10.33","3.7496315399377","7.5132103969751","3.5","1.3","Corn"
"NMNX-40553","0-20","Loamy","7.7","0.62","2.67","","22.66","76.8","40.7","490.42","56.231686143596","","28.86","10.31","3.1330467826013","12.766760873734","1.1431284828029","3.25","Corn"
"NTXM-315","0-20","sandy","6.75","2.41","0.96","1.27","29.1","93.48","46.24","483.25","38.681603819658","112426862.65","23.75","10.95","3.3608378822109","7.7767064367111","2.2815652371348","2.6","Corn"
"NMNX-307","0-20","sandy","8.78","0.49","4.65","1.44","18.39","28.56","18.82","333.28","51.466364102407","240968531.72","25.67","9.65","1.6117289071252","12.638764608367","2.0370741298625","2.54","Wheat"
"NTXM-316","0-20","sandy","7.59","1.71","1.3","1.35","22.98","83.2","44.16","495.04","27.703336009147","1008347512.76","","10.37","5.4445165482248","11.997351288075","1.5649622326842","4.69","Corn"
"NMNT-308","0-20","Clay","7.38","1.04","3.79","1.46","18.46","21.7","14.51","330.58","40.977595364931","1614122768.89","","12.17","3.3509016821834","11.109877784472","2.6071369140262","4.24","Wheat"
"NTTM-277","0-30","Clay","8.34","2.07","4.37","1.46","37.82","46.52","27.07","434.19","26.455729326607","817431422.63","","8.63","2.9924917646122","8.478543730779","2.2113887065007","0.78","Cotton"
"NMNX-40433","0-20","Loamy","6.19","0.71","1.16","1.24","38.69","85.74","46.15","490.55","26.655677037202","1386613665.82","","8.3","2.9958627940719","9.8184231246962","1.3252156613452","1.06","Corn"
"NMNX-40554","0-20","Loamy","7.12","2.55","2.28","1.3","18.8","84.06","41.62","513.49","32.787708094312","1278520655.86","","8.78","2.9830649292046","13.86675624505","2.7384996362323","1.14","Corn"
"NTXM-316","0-20","sandy","7.92","0.96","4.79","1.61","25.15","28.94","18.12","344.1","43.088810489251","348787304.66","19.22","7.35","3.9552589604589","18","1.8915069638064","1.45","Wheat"
"TSPD-2165","0-20","Clay","8.6","1.17","3.44","1.58","28.82","45.67","23.73","373.62","34.25995568261","533700645.03","18.83","7.88","4.3712083713434","5.6222045940611","2.3594403676696","2.6","Wheat"
"Karta-276","0-20","Loamy","8.24","1.32","3.17","1.29","34.87","69.08","34.03","426.06","37.609135440953","550634112.02","23.12","5.96","2.2295570658473","10.819485311877","3.5","0.81","Corn"
"NTTM-278","0-20","sandy","6.74","2.03","3.99","1.26","34.43","58.47","31.03","418.42","15","1930532273.43","23.76","10.64","4.660196896158","8.7799827149546","1.7523367282418","2.95","Wheat"
"NMNX-40675","0-20","Loamy","6.61","0.37","0.88","1.3","25.34","91.29","46.58","493.06","32.805933130424","677981763.97","26.01","8.32","6","14.602218244288","2.8568812729944","2.82","Corn"
"NMNX-40796","0-20","sandy","7.16","0.68","2.8","1.5","27.37","37.71","22.47","353.44","50.313593045996","542330616.85","14.04","9.14","3.6964553507679","11.907812640795","3.2818366090007","2.2","Wheat"
"NTXM-317","0-20","sandy","7.86","0.73","4.75","1.61","29.28","16.99","13.15","332.66","18.649945240136","164950427.94","15.19","10.73","5.945978341424","11.327344727849","2.3686237893214","3.26","Wheat"
"TSPD-2166","0-30","Clay","8.82","1.92","4.17","1.62","28.96","34.61","18.63","400.96","24.857722887479","1081012220.11","23.71","7.42","5.2907320416051","14.621601290507","1.9747649276404","0.79","Cotton"
"Karta-277","0-20","Gill","8.61","0.91","4.72","1.64","30.47","28","17.23","343.5","52.526896418198","91038182.15","10.33","9.86","3.8261718168802","16.372251741901","1.9193375890917","3.54","Wheat"
"NTTM-279","0-20","sandy","7.44","0.98","2.44","1.38","35.44","57.69","30.78","435.82","70","934174184.45","24.57","5.77","5.3121559572468","14.660110259941","2.4910542505718","4.85","Wheat"
"NMNX-40917","0-20","Clay","7.49","1.51","4.77","1.56","32.3","17.81","13.51","337.76","19.077640847734","","22.8","7.22","4.4995531112602","13.414398263839","2.6699473497034","2.08","Wheat"
"NMNX-41038","0-20","sandy","7.3","","2.42","1.47","32.38","80.18","41.23","466.41","37.495602467767","415895308.42","19.88","8.6","4.4787428505448","","2.1350356540318","0.79","Corn"
"NTXM-318","0-20","Gill","8.37","","3.8","1.54","19.44","29.58","19.63","346.37","60","418632125.27","27.18","6.31","5.0926198446977","7.4496833474998","2.9191369171862","3.57","Wheat"
"TSPD-2167","0-20","sandy","7.29","0.46","0.53","1.27","36.09","90.94","46.09","494.25","30.258447436539","532124280.01","28.28","9.62","4.5568298169511","8.7152842227958","1.6367870470786","2.66","Corn"
"Karta-278","0-20","Gill","6.23","0.94","4.52","1.44","23.19","53.03","28.62","375.23","33.922158526118","527925585.7","15.72","9","3.4712002342991","9.5325158927867","3.0907216291533","3.62","Wheat"
"NTTM-280","0-20","sandy","8.8","1.4","3.4","1.56","38.22","38.37","22.06","381.14","33.405857457399","416295180.37","16.14","10.03","2.7086802699231","10.269442825758","2.3928178960433","4.18","Wheat"
"NMNX-41159","0-20","sandy","6.45","2.46","4.67","1.55","18.35","26","13.23","312.9","35.549708774418","768808958.99","19.99","9.23","3.2658651384776","14.370442305857","2.6315746717853","1.75","Wheat"
"NMNX-41280","0-20","Clay","8.11","0.82","3.2","1.38","17.25","53.94","27.62","399.34","16.663925942792","840981750.87","23.48","10.47","1.2","10.921905611822","2.1117865543597","3.34","Wheat"
"NTXM-319","0-20","Gill","8.75","1.88","3.65","1.48","39.79","29.08","19.68","376.66","32.047571550737","830034286.69","15.51","8.39","5.1064907162927","18","2.0087553197946","0.91","Wheat"
"TSPD-2168","0-20","sandy","8.88","0.7","4.75","1.63","15.58","15.12","11.13","320.2","20.14747725891","568281164.12","19.97","8.25","6","11.003060120971","2.7849219194129","4.54","Wheat"
"Karta-279","0-20","Clay","8.32","1.21","1.79","1.44","39.77","49.95","28.61","431.17","30.97027977686","269475293.04","17.06","8.82","4.2452267418814","12.502948633853","3.5","2.72","Wheat"
"NTTM-281","0-20","sandy","6.48","1.12","0.66","","16.96","101.64","46.84","507.05","36.057080747644","1249142823.96","15.23","11.93","4.2460803241373","8.2954814002192","1.5825607329095","4.2","Corn"
"NMNX-41401","0-20","Clay","8.93","0.94","2.3","1.46","32.41","25.56","13.67","382.14","36.240541853269","113050767.75","21.76","9.24","6","10.625620050815","3.1861207564636","4.86","Wheat"
"NMNX-41522","0-20","Gill","7.82","2.03","4.24","1.49","17.46","34.32","20.41","333.27","32.641182561484","1254094301.28","27.75","7.5","4.687950017893","8.0395084054693","2.5941561628829","2.18","Wheat"
"NTXM-320","0-20","Clay","6.41","0.5","2.58","1.6","15.75","72.87","38.84","446.82","55.20722208541","618045399.77","13.96","11.06","6","19.913356876669","1.4454245271688","4.39","Wheat"
"TSPD-2169","0-20","sandy","6.37","1.94","1.03","","36.7","95.77","46.79","503.51","53.230890519351","","15.14","10.79","3.0178558009226","17.171559124463","1.5253588187011","3.52","Corn"
"Karta-280","0-20","sandy","6.74","1.5","1.63","1.39","21.38","62.6","30.78","403.37","28.693893760212","","12.93","6.64","6","6.336238231133","1.9893933828838","2.24","Wheat"
"NTTM-282","0-20","sandy","6.26","1.54","1.85","","16.47","66.92","36.35","417.62","32.315411640296","81782942.82","11","12.72","3.470448203114","12.528324250601","2.2995955336301","4.19","Corn"
"NMNX-1396","0-20","sandy","8.01","1.63","3.67","1.62","19.41","17.64","12.1","318.21","38.923837947569","805192323.43","29.54","11.21","2.9412676331985","12.221955950003","2.7975968084281","4.34","Wheat"
"NMNX-301","0-20","Gill","7.98","2.07","4.4","1.41","37.67","41.22","21.42","391","41.918036288795","","16.24","12.85","4.9454340177968","11.706456088072","3.5","4.35","Wheat"
"NTXM-310","0-20","sandy","8.5","0.93","3.42","1.53","31.87","17.79","12.98","332.01","43.518910376891","138253010.92","26.33","10.11","1.788577726751","12.124206784264","2.3837910038302","1.36","Wheat"
"NMNX-302","0-20","Loamy","7.8","1.15","2.53","1.48","16.53","61.74","35.3","412.49","56.991727923593","1256854889.12","19.71","12.51","5.5054021940558","13.571080219733","2.859804112181","1.22","Corn"
"NTXM-311","0-20","sandy","6.08","1.09","0.52","1.4","29.73","92.5","46.09","472.18","51.762375728853","82106877.03","21.16","9.57","4.7940622781723","17.943675516285","1.6147405218736","3.12","Corn"
"NMNT-303","0-20","Clay","6.86","1.13","2.91","1.53","34.4","56.41","30.61","392.31","44.274293128933","411294221.32","22.8","10.3","4.7571204838164","11.96039624558","2.5282971243953","3.55","Wheat"
"NTTM-272","0-20","sandy","6.43","1.46","1.94","1.26","17.73","88.9","44.6","505.29","37.591213315916","1922583451.04","29.89","8.22","5.4376379225684","","1.7774658405218","4.88","Corn"
"NMNX-40669","0-20","Gill","8.78","1.35","4.41","1.49","36.26","20.18","16.34","359.14","30.845524449186","975083046.09","29.15","10.03","1.2","18.643926034753","2.8656873458847","4.96","Wheat"
"NMNX-40790","0-20","Clay","7.34","2.26","3.23","1.24","27.81","59.64","31.08","437.73","38.329747264915","816012530.09","21.81","9.84","4.1166862592908","12.793230362483","1.2","4.64","Corn"
"NTXM-311","0-20","sandy","6.42","1.59","3.08","1.62","20.77","46.02","24.65","352.36","41.363468285028","57972148.55","14.29","9.02","1.2779951206524","11.127542088513","3.6448162389559","3.79","Wheat"
"NMNX-303","0-20","Gill","8.91","0.65","1.18","1.48","38.45","35.77","19.67","373.81","51.40728055343","380442494.17","15.8","10.77","4.8237233343341","10.155968950109","3.062195005388","2.32","Wheat"
"NTXM-312","0-20","Clay","8.06","0.98","3.52","1.55","22.61","28.26","17.44","332.88","23.818346143578","142545069.47","10.83","7.61","5.2091487770003","","2.2408162451422","2.81","Wheat"
"NMNT-304","0-20","Gill","8.86","1.66","3.8","1.49","34.12","30.35","18.72","344.39","21.000082810538","102409010.59","24.58","10.21","2.7367354146439","12.364581200555","2.1115433421918","1.55","Wheat"
"NTTM-273","0-20","sandy","7.39","0.09","2.33","1.54","32.93","57.42","32.25","414.12","48.630708301856","702496768.57","20.26","8.95","3.5196357022814","9.6543798269642","2.4683301830034","0.95","Wheat"
"NMNX-40670","0-20","sandy","8.66","1.58","1.09","1.33","33.59","66.23","34.29","433.66","25.160977040266","1386737832.49","25.78","7.74","1.4764595864528","10.713741659147","1.329213607083","3.97","Corn"
"NMNX-40791","0-20","Clay","7.15","1.22","4.07","1.45","32.87","27.6","18.99","360.12","30.224879106146","1216952096.83","17.12","9.6","1.4481512409055","","1.6939469811818","4.02","Wheat"
"NTXM-312","0-20","sandy","7.57","1.23","0.83","1.39","18.34","78.03","39.82","513.89","43.40068321664","548268284.8","28.79","10.12","4.6205222021041","13.090343293982","1.5971797143237","1.18","Corn"
"NMNX-304","0-20","Gill","6.83","1.14","3.07","1.41","36.89","55.49","29.03","393.62","31.371123404618","120106752.47","27.32","8.39","2.8201572459968","12.562743818137","2.8836758361495","1.48","Wheat"
"NTXM-313","0-20","sandy","6.14","0.96","3.05","1.44","15.08","75.14","37.25","440.49","17.055968238037","","24.46","10.77","2.2604803693715","9.3557005288168","1.2","4.59","Corn"
"NMNT-305","0-20","Clay","7.67","2.36","1.43","1.45","21.26","62.57","33.88","432.42","21.72254950545","563229098.17","28.21","11.73","4.2796502503394","14.297486262445","2.6918011792076","1.84","Corn"
"NTTM-274","0-20","sandy","8.64","1.44","4.17","1.41","27.95","39.7","22.84","363.4","60","285174944.08","28.39","7.73","4.2412490821938","12.057671676797","2.8564489715375","0.57","Wheat"
"NMNX-40671","0-20","Gill","6.53","2","4.59","1.48","38.89","43.4","22.55","380.74","23.076777111339","335967630.45","14.68","13.19","5.6694404266914","11.915672381935","1","1.44","Wheat"
"NMNX-40792","0-20","Gill","8.2","0.83","2.62","1.46","36.81","46.54","26.74","392.09","52.852276827876","587765465.26","16.61","11.24","5.8451201855107","20","3.2781532089516","0.54","Wheat"
"NTXM-313","0-20","Clay","6.64","0.77","2.59","1.5","31.14","52.65","28.3","389.99","46.787889667123","423953786.14","22.59","7.03","2.5451732078514","15.789534863833","1.8698059602797","3.25","Wheat"
"NMNX-305","0-20","Loamy","6.94","1.23","3.53","1.4","28.67","79.72","41.35","465.97","39.879018399687","1491461018.6","27.43","9.64","1.5","8.1075580838958","2.4804655331185","1.16","Corn"
"NTXM-314","0-20","sandy","7.16","2.36","1.83","1.5","39.99","46.36","26.83","386.95","30.092649018155","176702462.44","12.74","9.01","4.1487542981855","13.387867483677","1.675406410693","0.78","Wheat"
"NMNT-306","0-20","sandy","7.39","0.31","2.87","1.37","37.84","73.07","36.37","453.26","29.691884150338","1120127786.41","22.56","10.27","4.9618174885065","13.174738906157","2.9766351374252","2.63","Corn"
"NTTM-275","0-20","Clay","8.92","0.82","4.02","1.36","36.18","27.44","16.72","365.85","33.942734091328","56440579.06","21.84","6.98","4.6343054917862","15.380159387864","2.0307186221464","1.62","Wheat"
"NMNX-40672","0-20","sandy","7.58","2.09","4.18","1.51","39.82","33.96","18.89","377.09","35.003338815298","221364593.83","24","10.45","7","12.47553390291","1.7917206689292","2.55","Wheat"
"NMNX-40793","0-20","Loamy","6.78","1.16","0.96","","20.23","72.36","38.56","440.97","47.10859215906","566974148.62","26.64","8.49","3.815106218382","9.1719805244888","2.4473837388703","4.84","Corn"
"NTXM-314","0-20","sandy","6.76","1.79","4.28","1.62","26.61","30.11","18.28","355.49","37.226971787746","73134054.64","25.8","8.92","7","16.315780557702","4","4.43","Wheat"
"NMNX-306","0-20","sandy","6.63","0.96","2.13","1.47","18.98","71","38.03","424.7","45.588977563151","654109056.79","26.34","11.77","2.1088595330685","12.372095741608","2.6889409883957","3.08","Corn"
"NTXM-315","0-20","Loamy","6.55","2.05","1.25","1.26","28.36","87.3","45.07","451.09","38.405410658999","547848299.74","22.37","6.62","5.016152795479","9.7889161691629","2.0665065306402","4.28","Corn"
"NMNT-307","0-20","Gill","6.27","","1","1.39","38.61","49.08","28.22","416.41","42.715165405662","1363030682.66","15.16","11.65","4.6327727988685","12.76117353238","2.5305468908379","1","Wheat"
"NTTM-276","0-20","Gill","7.11","0.89","1.22","1.38","32.42","59.5","28.56","409.56","23.243754673003","","15.11","7.51","3.9405825589377","14.864370570586","2.1345845363284","4.21","Wheat"
"NMNX-40673","0-20","Loamy","6.09","1.53","0.81","1.47","27.67","75.96","40.7","462.24","60.32455018446","1373800375.17","29.45","7.98","3.0612568167306","13.089512291998","3.2366131321321","4.2","Corn"
"NMNX-40794","0-20","Clay","7.87","1.01","2.04","1.41","36.78","49.41","27.49","372.69","38.356863267395","264970831.51","22.47","12.2","6.8017332427019","12.710480437321","2.5899825571153","1.93","Wheat"
"NTXM-315","0-20","Gill","8.48","1.59","3.95","1.58","38.05","40.98","22.63","380.76","37.63655333048","1290951447.97","18.75","8","6.8793781572957","8.9603888317868","2.3150592956386","0.95","Wheat"
"NMNX-307","0-20","sandy","6.7","1.8","1.38","1.28","35.79","64.91","35.71","392.89","31.21215663355","388404255.24","14.75","11.81","5.3711896200371","15","2.1468322062026","3.31","Wheat"
"NTXM-316","0-20","Clay","","0.45","2.25","1.43","30.33","91.08","46.48","474.6","27.59996859349","574338264.61","25.95","12.73","4.1230623236085","11.912459718766","2.0765595815621","1.15","Corn"
"NMNT-308","0-20","Clay","8.56","1.89","4.81","1.64","15.46","11.91","11.13","347.2","36.232117221048","543795463.78","26.96","12","1.8868542636964","5.9759998457738","1.8455098125434","0.82","Wheat"
"NTTM-277","0-20","Gill","7.38","0.39","1.6","1.34","16.34","37.37","18.94","343.32","32.418598705052","816422733.46","20.05","9.22","6.1573211338067","13.66218025041","3.2155098594699","3.27","Wheat"
"NMNX-40674","0-20","Clay","7.19","1.26","2.89","1.43","36.05","72.34","37.21","452.26","42.976591338043","142232305.42","17.76","11.03","2.5186326379366","12.690027319312","2.6236443328156","4.03","Corn"
"NMNX-40795","0-20","Gill","6.42","0.9","3.58","1.61","21.27","53.73","28.84","374.66","45.641962754138","1049283159.37","18.79","8.6","3.9127208721005","13.104114284504","2.0495428039886","2.8","Wheat"
"NTXM-316","0-20","Gill","8.47","1.98","4.86","1.63","19.4","14.28","13.23","296.71","36.968923224486","367635186.71","17.45","11.85","1.3771574837374","14.745660617932","1.6786302042503","4.7","Wheat"
"NMNX-308","0-20","sandy","8.42","1.42","1.73","1.5","31.81","42.77","24.34","377.96","38.764871554379","850059385.11","23.59","10.17","5.8894321605117","10.822808271987","2.2801425774392","0.95","Wheat"
"NTXM-317","0-20","Loamy","6.51","1.94","0.55","1.34","33.52","83.46","40.8","485.47","50.064763618672","551991076.64","16.5","7.56","5.0211908016783","14.521916399458","1.6971881236109","0.78","Corn"
"NMNT-309","0-20","Clay","8.92","0.29","4.6","1.62","32.75","15.22","12.83","335.64","41.326474908033","1083929250.56","21.2","9.7","2.5948133336058","19.205359657517","2.3298587612305","4.5","Wheat"
"NTTM-278","0-20","sandy","8.13","1.34","4.01","1.43","37.72","28.37","15.56","328.45","41.383934801235","187596857.26","18.55","8.36","3.4627846092943","15.42822394088","2.4931448107179","2.41","Wheat"
"NMNX-40675","0-20","Clay","6.49","0.44","1.86","1.29","22.54","90.49","44.9","462.56","41.559097356415","","29.66","12.29","3.8791194745247","7.0339701372809","2.4888200227777","1.82","Corn"
"NMNX-40796","0-20","sandy","6.62","1.03","1.9","1.55","38.78","65.91","33.93","417.65","34.573483710399","100893643.11","12.59","10.82","5.7155323556931","9.9158125579814","2.7840865178513","1.55","Corn"
"NTXM-317","0-20","sandy","7.26","1.76","2.01","1.31","15.96","34.41","20.75","332.69","51.295353424082","1620539252.74","21.22","12.37","3.4051381084383","9.6137748327978","1.9430685977872","1.7","Wheat"
"TSPD-2166","0-20","sandy","6.49","1.77","0.81","1.24","26.93","87.82","45.82","464.9","26.449960037273","536891160.1","14.13","8.49","6.5154016207141","8.760021094595","1.6728426355219","3.1","Corn"
"Karta-277","0-20","Clay","8.95","0.97","3.24","1.49","25.55","20.05","14.07","326.97","65.023621382711","387438353","29.25","10.73","1.3832625249048","10.487740570227","2.0802858030308","2.94","Wheat"
"NTTM-279","0-20","Clay","6.52","0.65","1.55","1.33","30.97","93.7","46.83","522.16","49.054684388885","168049740.64","27.24","10.19","3.5679832403756","12.924269449102","1.9650240955835","4.73","Corn"
"NMNX-40917","0-20","Loamy","7.67","1.64","2.16","1.25","24.83","70.34","35.8","447","41.777661527942","1443954056.26","15.47","10.19","1.2","14.332599089092","2.1266114652764","0.63","Corn"
"NMNX-41038","0-20","Gill","8.21","1.13","4.97","1.62","19.22","13.11","7.73","309.78","21.495898353749","249247470.87","16.48","6.57","2.2270162690671","14.006346560304","2.3322501264516","4.41","Wheat"
"NTXM-318","0-20","Gill","8.72","1.53","3.4","1.45","27.46","42.03","25.69","385.41","39.708664390439","220635885.45","22.09","9.65","2.1360425535749","9.290482488919","2.6163160870747","1.19","Wheat"
"TSPD-2167","0-20","Clay","6.07","1.85","0.77","1.35","33.84","78.92","39.24","468.69","29.356617878946","1410067514.8","14.39","10.63","3.2667020580397","13.838375198171","2.4602153461471","2.46","Corn"
"Karta-278","0-20","sandy","6.57","0.84","0.65","","34.24","93.77","47.99","497.87","52.112628585459","","28.69","12.62","2.8311424825772","6.0573857185074","2.233721492203","3.36","Corn"
"NTTM-280","0-20","Loamy","6.04","1.8","1.72","1.47","25.12","77.85","41.83","457.24","58.660698952784","963884230.59","16.73","11.44","7","12.00056585264","2.3137977380205","2.58","Corn"
"NMNX-41159","0-20","Clay","7.46","","3.49","1.65","29.41","16.52","12.2","310.56","13.66381342617","1589846275.86","17.34","9.22","2.7540919653841","13.490229599546","2.2936380062792","2.22","Wheat"
"NMNX-41280","0-20","sandy","7.94","1.41","2.52","1.26","26.4","67.89","36.08","468.44","13.915438269918","1238001105.07","28.73","11.5","3.4515805042194","12.703444226171","3.3283991262369","1.06","Corn"
"NTXM-319","0-20","Gill","8.21","0","4.9","1.61","27.54","25.4","15.85","359.49","32.477233846639","329008901.34","18.43","6","3.0238929215219","11.928108432771","2.6749700673187","3.16","Wheat"
"TSPD-2168","0-30","sandy","7.93","1.2","4.39","1.5","18.52","50.05","29.02","418.64","44.542362971375","","29.29","","4.3901789875454","11.379095589222","1.5706223413193","4.84","Cotton"
